params,a_scores
"OrderedDict([('learning_rate', 0.4443970361486894), ('max_depth', 1), ('max_iter', 169), ('max_leaf_nodes', 37), ('min_samples_leaf', 4)])",0.918508664136261
"OrderedDict([('learning_rate', 0.026484639294976874), ('max_depth', 5), ('max_iter', 352), ('max_leaf_nodes', 18), ('min_samples_leaf', 47)])",0.9256925767157629
"OrderedDict([('learning_rate', 0.5278773129423441), ('max_depth', 6), ('max_iter', 136), ('max_leaf_nodes', 33), ('min_samples_leaf', 46)])",0.9255709827507885
"OrderedDict([('learning_rate', 0.17166405472679286), ('max_depth', 13), ('max_iter', 108), ('max_leaf_nodes', 44), ('min_samples_leaf', 22)])",0.9267847557927695
"OrderedDict([('learning_rate', 0.39419636530866514), ('max_depth', 12), ('max_iter', 295), ('max_leaf_nodes', 11), ('min_samples_leaf', 36)])",0.9268870137655181
"OrderedDict([('learning_rate', 0.9330710575075679), ('max_depth', 7), ('max_iter', 187), ('max_leaf_nodes', 3), ('min_samples_leaf', 46)])",0.8649419575667915
"OrderedDict([('learning_rate', 0.7933547457165986), ('max_depth', 6), ('max_iter', 146), ('max_leaf_nodes', 41), ('min_samples_leaf', 32)])",0.9205895084497296
"OrderedDict([('learning_rate', 0.676401915504721), ('max_depth', 2), ('max_iter', 177), ('max_leaf_nodes', 40), ('min_samples_leaf', 42)])",0.9266571887523046
"OrderedDict([('learning_rate', 0.7342245991414444), ('max_depth', 10), ('max_iter', 135), ('max_leaf_nodes', 31), ('min_samples_leaf', 38)])",0.9187533479442337
"OrderedDict([('learning_rate', 0.9710239414860643), ('max_depth', 7), ('max_iter', 20), ('max_leaf_nodes', 9), ('min_samples_leaf', 11)])",0.9180642984980352
"OrderedDict([('learning_rate', 0.052315926442657236), ('max_depth', 4), ('max_iter', 284), ('max_leaf_nodes', 49), ('min_samples_leaf', 50)])",0.9262609083927179
"OrderedDict([('learning_rate', 0.6952669160531526), ('max_depth', 2), ('max_iter', 29), ('max_leaf_nodes', 14), ('min_samples_leaf', 1)])",0.9168871362542793
"OrderedDict([('learning_rate', 0.01), ('max_depth', 2), ('max_iter', 331), ('max_leaf_nodes', 2), ('min_samples_leaf', 20)])",0.8901769712027203
"OrderedDict([('learning_rate', 0.01), ('max_depth', 2), ('max_iter', 90), ('max_leaf_nodes', 38), ('min_samples_leaf', 50)])",0.8805685453975777
"OrderedDict([('learning_rate', 0.03877634993602281), ('max_depth', 13), ('max_iter', 500), ('max_leaf_nodes', 8), ('min_samples_leaf', 29)])",0.9270117934846664
"OrderedDict([('learning_rate', 0.4078026621429625), ('max_depth', 9), ('max_iter', 457), ('max_leaf_nodes', 13), ('min_samples_leaf', 22)])",0.9262681494041821
"OrderedDict([('learning_rate', 0.6568137188748111), ('max_depth', 7), ('max_iter', 30), ('max_leaf_nodes', 33), ('min_samples_leaf', 45)])",0.9227128935326043
"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('max_iter', 353), ('max_leaf_nodes', 26), ('min_samples_leaf', 6)])",0.910680282972207
"OrderedDict([('learning_rate', 0.708851555632903), ('max_depth', 14), ('max_iter', 467), ('max_leaf_nodes', 50), ('min_samples_leaf', 8)])",0.9154502128287476
"OrderedDict([('learning_rate', 0.026023988684498935), ('max_depth', 2), ('max_iter', 45), ('max_leaf_nodes', 12), ('min_samples_leaf', 50)])",0.8841419952980779
"OrderedDict([('learning_rate', 0.579796846445087), ('max_depth', 5), ('max_iter', 203), ('max_leaf_nodes', 28), ('min_samples_leaf', 38)])",0.9252333572667043
"OrderedDict([('learning_rate', 0.2197408566334411), ('max_depth', 15), ('max_iter', 449), ('max_leaf_nodes', 46), ('min_samples_leaf', 43)])",0.9263931612085725
"OrderedDict([('learning_rate', 0.15395351169092406), ('max_depth', 2), ('max_iter', 344), ('max_leaf_nodes', 44), ('min_samples_leaf', 50)])",0.9270777750570621
"OrderedDict([('learning_rate', 0.01), ('max_depth', 4), ('max_iter', 204), ('max_leaf_nodes', 45), ('min_samples_leaf', 43)])",0.9088113870523046
"OrderedDict([('learning_rate', 0.515447409567241), ('max_depth', 15), ('max_iter', 145), ('max_leaf_nodes', 50), ('min_samples_leaf', 32)])",0.9219020160764904
"OrderedDict([('learning_rate', 1.0), ('max_depth', 11), ('max_iter', 3), ('max_leaf_nodes', 8), ('min_samples_leaf', 49)])",0.9032615237364553
"OrderedDict([('learning_rate', 0.09685712232788922), ('max_depth', 9), ('max_iter', 377), ('max_leaf_nodes', 34), ('min_samples_leaf', 50)])",0.9279476630226732
"OrderedDict([('learning_rate', 0.30443332353448016), ('max_depth', 1), ('max_iter', 500), ('max_leaf_nodes', 2), ('min_samples_leaf', 49)])",0.9211531438451296
"OrderedDict([('learning_rate', 0.30139977649205857), ('max_depth', 9), ('max_iter', 1), ('max_leaf_nodes', 33), ('min_samples_leaf', 17)])",0.9004681295602319
"OrderedDict([('learning_rate', 0.21092659012083306), ('max_depth', 5), ('max_iter', 500), ('max_leaf_nodes', 4), ('min_samples_leaf', 31)])",0.9278002265631846
"OrderedDict([('learning_rate', 0.2891838667746847), ('max_depth', 6), ('max_iter', 301), ('max_leaf_nodes', 50), ('min_samples_leaf', 22)])",0.9272285109000122
"OrderedDict([('learning_rate', 0.1529023691682258), ('max_depth', 14), ('max_iter', 173), ('max_leaf_nodes', 50), ('min_samples_leaf', 13)])",0.9275581076703251
"OrderedDict([('learning_rate', 0.01), ('max_depth', 1), ('max_iter', 500), ('max_leaf_nodes', 50), ('min_samples_leaf', 39)])",0.897615752605162
"OrderedDict([('learning_rate', 0.28390731335052466), ('max_depth', 15), ('max_iter', 263), ('max_leaf_nodes', 34), ('min_samples_leaf', 50)])",0.9266983275459394
"OrderedDict([('learning_rate', 0.2623715237862045), ('max_depth', 15), ('max_iter', 446), ('max_leaf_nodes', 8), ('min_samples_leaf', 50)])",0.9275942338542903
"OrderedDict([('learning_rate', 0.34732756705816925), ('max_depth', 7), ('max_iter', 321), ('max_leaf_nodes', 30), ('min_samples_leaf', 50)])",0.9263914118110959
"OrderedDict([('learning_rate', 1.0), ('max_depth', 1), ('max_iter', 1), ('max_leaf_nodes', 50), ('min_samples_leaf', 1)])",0.759149845456941
"OrderedDict([('learning_rate', 0.40840705207377304), ('max_depth', 15), ('max_iter', 268), ('max_leaf_nodes', 33), ('min_samples_leaf', 23)])",0.9248286083845239
"OrderedDict([('learning_rate', 0.7483103962645196), ('max_depth', 15), ('max_iter', 294), ('max_leaf_nodes', 2), ('min_samples_leaf', 1)])",0.9162384102791415
"OrderedDict([('learning_rate', 1.0), ('max_depth', 15), ('max_iter', 500), ('max_leaf_nodes', 50), ('min_samples_leaf', 50)])",0.912785355600447
"OrderedDict([('learning_rate', 0.22390637896720875), ('max_depth', 15), ('max_iter', 500), ('max_leaf_nodes', 20), ('min_samples_leaf', 40)])",0.9278520286487775
"OrderedDict([('learning_rate', 0.437919329217664), ('max_depth', 8), ('max_iter', 500), ('max_leaf_nodes', 26), ('min_samples_leaf', 1)])",0.9229642441329549
"OrderedDict([('learning_rate', 1.0), ('max_depth', 3), ('max_iter', 214), ('max_leaf_nodes', 37), ('min_samples_leaf', 50)])",0.9230211431587921
"OrderedDict([('learning_rate', 0.5287466827435758), ('max_depth', 15), ('max_iter', 331), ('max_leaf_nodes', 50), ('min_samples_leaf', 50)])",0.9212890660329351
"OrderedDict([('learning_rate', 0.9675082185409366), ('max_depth', 15), ('max_iter', 118), ('max_leaf_nodes', 50), ('min_samples_leaf', 50)])",0.9138684818076366
"OrderedDict([('learning_rate', 1.0), ('max_depth', 3), ('max_iter', 500), ('max_leaf_nodes', 20), ('min_samples_leaf', 1)])",0.9180783440962523
"OrderedDict([('learning_rate', 0.6911035328754711), ('max_depth', 14), ('max_iter', 1), ('max_leaf_nodes', 2), ('min_samples_leaf', 1)])",0.759149845456941
"OrderedDict([('learning_rate', 0.17454052775556878), ('max_depth', 15), ('max_iter', 172), ('max_leaf_nodes', 44), ('min_samples_leaf', 44)])",0.9270510436847201
"OrderedDict([('learning_rate', 1.0), ('max_depth', 10), ('max_iter', 42), ('max_leaf_nodes', 13), ('min_samples_leaf', 50)])",0.9204325410263984
"OrderedDict([('learning_rate', 1.0), ('max_depth', 15), ('max_iter', 500), ('max_leaf_nodes', 2), ('min_samples_leaf', 2)])",0.916777934755733
