params,scores
"OrderedDict([('learning_rate', 0.4443970361486894), ('max_depth', 1), ('max_iter', 169), ('max_leaf_nodes', 37), ('min_samples_leaf', 4)])",0.8945738767778618
"OrderedDict([('learning_rate', 0.026484639294976874), ('max_depth', 5), ('max_iter', 352), ('max_leaf_nodes', 18), ('min_samples_leaf', 47)])",0.9380975489076654
"OrderedDict([('learning_rate', 0.5278773129423441), ('max_depth', 6), ('max_iter', 136), ('max_leaf_nodes', 33), ('min_samples_leaf', 46)])",0.9486418766334271
"OrderedDict([('learning_rate', 0.17166405472679286), ('max_depth', 13), ('max_iter', 108), ('max_leaf_nodes', 44), ('min_samples_leaf', 22)])",0.9546137402091958
"OrderedDict([('learning_rate', 0.39419636530866514), ('max_depth', 12), ('max_iter', 295), ('max_leaf_nodes', 11), ('min_samples_leaf', 36)])",0.949215564572952
"OrderedDict([('learning_rate', 0.9330710575075679), ('max_depth', 7), ('max_iter', 187), ('max_leaf_nodes', 3), ('min_samples_leaf', 46)])",0.9241817810529274
"OrderedDict([('learning_rate', 0.7933547457165986), ('max_depth', 6), ('max_iter', 146), ('max_leaf_nodes', 41), ('min_samples_leaf', 32)])",0.9483346898464505
"OrderedDict([('learning_rate', 0.676401915504721), ('max_depth', 2), ('max_iter', 177), ('max_leaf_nodes', 40), ('min_samples_leaf', 42)])",0.9314253244408531
"OrderedDict([('learning_rate', 0.7342245991414444), ('max_depth', 10), ('max_iter', 135), ('max_leaf_nodes', 31), ('min_samples_leaf', 38)])",0.9494445664330341
"OrderedDict([('learning_rate', 0.9710239414860643), ('max_depth', 7), ('max_iter', 20), ('max_leaf_nodes', 9), ('min_samples_leaf', 11)])",0.9119568360453837
"OrderedDict([('learning_rate', 0.7146629926023799), ('max_depth', 15), ('max_iter', 500), ('max_leaf_nodes', 50), ('min_samples_leaf', 50)])",0.9504597213195065
"OrderedDict([('learning_rate', 0.01), ('max_depth', 15), ('max_iter', 500), ('max_leaf_nodes', 2), ('min_samples_leaf', 1)])",0.8598582468190255
"OrderedDict([('learning_rate', 0.01), ('max_depth', 15), ('max_iter', 145), ('max_leaf_nodes', 50), ('min_samples_leaf', 31)])",0.932746477945439
"OrderedDict([('learning_rate', 1.0), ('max_depth', 2), ('max_iter', 1), ('max_leaf_nodes', 4), ('min_samples_leaf', 27)])",0.7966670789880997
"OrderedDict([('learning_rate', 0.01), ('max_depth', 4), ('max_iter', 500), ('max_leaf_nodes', 50), ('min_samples_leaf', 50)])",0.9285637258633376
"OrderedDict([('learning_rate', 0.46516681626134043), ('max_depth', 10), ('max_iter', 177), ('max_leaf_nodes', 50), ('min_samples_leaf', 24)])",0.9541694675246857
"OrderedDict([('learning_rate', 0.21548620492832074), ('max_depth', 11), ('max_iter', 500), ('max_leaf_nodes', 43), ('min_samples_leaf', 50)])",0.9516778554601115
"OrderedDict([('learning_rate', 0.40269239662736894), ('max_depth', 15), ('max_iter', 27), ('max_leaf_nodes', 13), ('min_samples_leaf', 50)])",0.9362990979675725
"OrderedDict([('learning_rate', 0.8139453428516426), ('max_depth', 15), ('max_iter', 439), ('max_leaf_nodes', 15), ('min_samples_leaf', 26)])",0.9510648774356241
"OrderedDict([('learning_rate', 0.7961314774260361), ('max_depth', 11), ('max_iter', 398), ('max_leaf_nodes', 50), ('min_samples_leaf', 8)])",0.9435276806748604
"OrderedDict([('learning_rate', 1.0), ('max_depth', 12), ('max_iter', 1), ('max_leaf_nodes', 2), ('min_samples_leaf', 50)])",0.7417575530455183
"OrderedDict([('learning_rate', 1.0), ('max_depth', 4), ('max_iter', 214), ('max_leaf_nodes', 49), ('min_samples_leaf', 19)])",0.930323818711293
"OrderedDict([('learning_rate', 0.9199809411121203), ('max_depth', 13), ('max_iter', 104), ('max_leaf_nodes', 42), ('min_samples_leaf', 44)])",0.9492356926902484
"OrderedDict([('learning_rate', 0.4016474006255979), ('max_depth', 12), ('max_iter', 65), ('max_leaf_nodes', 31), ('min_samples_leaf', 50)])",0.9481697612732095
"OrderedDict([('learning_rate', 0.8679898910398121), ('max_depth', 1), ('max_iter', 84), ('max_leaf_nodes', 22), ('min_samples_leaf', 15)])",0.8953990441950023
"OrderedDict([('learning_rate', 1.0), ('max_depth', 15), ('max_iter', 458), ('max_leaf_nodes', 46), ('min_samples_leaf', 24)])",0.9494101510121149
"OrderedDict([('learning_rate', 0.6380737813820281), ('max_depth', 15), ('max_iter', 500), ('max_leaf_nodes', 36), ('min_samples_leaf', 47)])",0.9497851634549512
"OrderedDict([('learning_rate', 0.4227996021902473), ('max_depth', 15), ('max_iter', 179), ('max_leaf_nodes', 39), ('min_samples_leaf', 23)])",0.9550681721034542
"OrderedDict([('learning_rate', 0.01), ('max_depth', 13), ('max_iter', 11), ('max_leaf_nodes', 46), ('min_samples_leaf', 9)])",0.9055942991316364
"OrderedDict([('learning_rate', 0.1068988810589965), ('max_depth', 15), ('max_iter', 39), ('max_leaf_nodes', 24), ('min_samples_leaf', 50)])",0.9376896629796836
"OrderedDict([('learning_rate', 0.4554971314356616), ('max_depth', 15), ('max_iter', 462), ('max_leaf_nodes', 50), ('min_samples_leaf', 50)])",0.9513914116129234
"OrderedDict([('learning_rate', 1.0), ('max_depth', 7), ('max_iter', 372), ('max_leaf_nodes', 34), ('min_samples_leaf', 41)])",0.9495107623213356
"OrderedDict([('learning_rate', 0.7718926733669185), ('max_depth', 15), ('max_iter', 500), ('max_leaf_nodes', 25), ('min_samples_leaf', 1)])",0.945391212527545
"OrderedDict([('learning_rate', 1.0), ('max_depth', 15), ('max_iter', 11), ('max_leaf_nodes', 50), ('min_samples_leaf', 1)])",0.9117559720733961
"OrderedDict([('learning_rate', 0.01), ('max_depth', 12), ('max_iter', 300), ('max_leaf_nodes', 29), ('min_samples_leaf', 7)])",0.9414280716238925
"OrderedDict([('learning_rate', 0.2594598062317076), ('max_depth', 15), ('max_iter', 175), ('max_leaf_nodes', 42), ('min_samples_leaf', 50)])",0.952252402199308
"OrderedDict([('learning_rate', 0.491726683896638), ('max_depth', 15), ('max_iter', 169), ('max_leaf_nodes', 12), ('min_samples_leaf', 1)])",0.9403385964090463
"OrderedDict([('learning_rate', 0.887076017175013), ('max_depth', 15), ('max_iter', 160), ('max_leaf_nodes', 33), ('min_samples_leaf', 50)])",0.9487859988328132
"OrderedDict([('learning_rate', 0.04819914618282201), ('max_depth', 15), ('max_iter', 372), ('max_leaf_nodes', 40), ('min_samples_leaf', 50)])",0.9519176947865005
"OrderedDict([('learning_rate', 0.6936542289481545), ('max_depth', 1), ('max_iter', 500), ('max_leaf_nodes', 19), ('min_samples_leaf', 50)])",0.8975398512324751
