Iteration,Score
1,-0.02350237325442528
2,-0.02351726595145487
3,-0.02324042270301363
4,-0.023436573878833133
5,-0.02338991430663273
6,-0.023534789693405056
7,-0.023549362055210743
8,-0.022730128749444356
9,-0.02411561463520817
10,-0.02727754488080225
11,-0.023082348432236
12,-0.024268987808800713
13,-0.02337273176537158
14,-0.023511969528530408
15,-0.02324953916638206
16,-0.02229055803784652
17,-0.023646902730782626
18,-0.022499232296597782
19,-0.024120185679425532
20,-0.022920416163783264
21,-0.023555731650822587
22,-0.020921720976002423
23,-0.023382659100647407
24,-0.022542374619919814
25,-0.0213135719589701
26,-0.023283783888190523
27,-0.02405805136414063
28,-0.023533819328981354
29,0.881524231349557
30,-0.022569420451877376
31,-0.022751283516981413
32,-0.02235469967890724
33,-0.02308458028773619
34,-0.023870242757695115
35,-0.023607906321360783
36,-0.021607372401546643
37,-0.0217485547643117
38,0.8401051639029657
39,-0.023022454931526992
40,-0.022546997710274574
41,-0.02348517985119103
42,0.8238792191009199
43,-0.023632833574704692
44,-0.02259435202628146
45,-0.02507418049502519
46,-0.021876908416560426
47,-0.022233179771059763
48,-0.02314621220310742
49,-0.021634183208052216
50,-0.022866981078653037
