Iteration,Score
1,-0.015811221959302735
2,-0.023255308282313925
3,0.8612163394782494
4,-0.023502255915730297
5,-0.023605885939719462
6,-0.02361680088038831
7,-0.018596014614255862
8,-0.022945869187750656
9,-0.023740004330818687
10,-0.023084774017693377
11,-0.023467598733472927
12,-0.02363663156882856
13,-0.02307020897388079
14,-0.024100590182338566
15,-0.024350216266685987
16,-0.024031320280983648
17,-0.02358783712142709
18,-0.019761837911222102
19,-0.023467598733472927
20,-0.023327035869278756
21,-0.023868385729536756
22,-0.02280531480761372
23,-0.0060266699199522655
24,-0.02323504881330174
25,-0.02302335232178021
26,-0.022866841271800054
27,-0.0236087846119164
28,-0.023630353483230282
29,-0.021282863838979704
30,-0.021682672705037653
31,-0.023534138122561776
32,-0.023578129497581868
33,-0.023291356331115676
34,-0.024236494759953153
35,-0.02153346603425299
36,0.628024920394983
37,-0.01878167450600543
38,-0.014976536878282376
39,-0.013591964423500746
40,-0.023181421140310743
41,0.9282166132771148
42,-0.024570065802082208
43,-0.023988847515983514
44,-0.02338997640464613
45,-0.022618571698937773
46,-0.023270895435918648
47,-0.023513878385667653
48,-0.023405210355750716
49,-0.023760630637928548
50,-0.01795029356925726
