param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
131,3,1,5,0.17009533448144792,0.8738789157941937,0.8438350088319216,0.002998573639452687,0.84775477621552,0.8402882632096863,0.8457013101296591,0.8403677023025589,0.845062992302184
65,9,5,1,0.3386726832017303,0.9706250671297312,0.8501746472952728,0.0037838404755894117,0.8526564903760152,0.8461569660532142,0.8548851965250431,0.8452663531246696,0.8519082303974221
35,4,3,8,0.4101267686579376,0.8921825264114887,0.8244958474007614,0.0056611952990246,0.8324744083395943,0.8213473541467485,0.8290121077485002,0.8164610107897308,0.8231843559792338
92,7,3,4,0.12858240040950478,0.7643198838923126,0.8525766131236348,0.003665704416081582,0.8556829921111945,0.8474579210565623,0.8576901797057732,0.8505907303529501,0.8514612423916935
107,6,4,7,0.0623542903456837,0.83670663414523,0.8501922609655631,0.003601900450511332,0.8538161648957104,0.84636647267491,0.8548972242750204,0.8463877310237069,0.8494937119584676
14,5,1,3,0.4567970823030919,0.9452821505255997,0.849804615699983,0.0021875122938075325,0.8512975273693248,0.8464836733084088,0.8528368427324139,0.8485904875602297,0.8498145475295382
46,9,4,6,0.3023172485642135,0.9292441790457815,0.8400512769849715,0.004034051246043339,0.8426523760330578,0.8349582916790907,0.8437346331508286,0.8353090544342399,0.8436020296276405
148,1,2,2,0.246665464155376,0.7897734313737601,0.8507174778747256,0.0040104598771726965,0.8547860541662196,0.8463376620179879,0.8559802812032,0.8467043685347346,0.8497790234514859
77,5,4,8,0.25944099836051465,0.7680829782038927,0.8251108545690815,0.004538704940404575,0.8289685521090481,0.8231887187537238,0.8284378526158678,0.8170249164630807,0.8279342329036878
117,6,2,4,0.3159595117904246,0.8883888246491551,0.83944887716598,0.0034280364390068467,0.841924819326679,0.8392275834907664,0.840788673551761,0.8329440631305827,0.8423592463301108
84,1,5,5,0.49941924600861964,0.9978258407209069,0.824817203289831,0.004613873667430281,0.8204114454760116,0.8253111970520265,0.8269327055780229,0.8193633348307415,0.8320673335123524
36,10,2,1,0.10581260588951409,0.8466476548928767,0.8344110825457616,0.0053913716009872815,0.8371069572644985,0.8281273688373866,0.8393347143800982,0.8276831812335773,0.8398031910132474
22,8,3,6,0.14219636633060873,0.8013605293817818,0.8494469785952503,0.003412411593207456,0.8523764243676434,0.8443894462367967,0.8538082933294098,0.8472017020105364,0.8494590270318654
105,2,3,2,0.4228225071448833,0.9176265927962959,0.84905766103115,0.0034176607771558842,0.8494429984615934,0.8447550338930806,0.854739464949738,0.8464576598026441,0.8498931480486931
135,7,1,7,0.3822159443050623,0.9646818086039275,0.812936519122901,0.005036149374326983,0.8098061115881364,0.8059660996468316,0.8197977324054997,0.8117187207173239,0.8173939312567133
60,3,5,3,0.21274407887831331,0.8172763695474714,0.8532704264585856,0.004187621069853544,0.8590236597080606,0.8490601292395721,0.856972990148993,0.8484811189499719,0.8528142342463302
94,10,2,7,0.19455157001502815,0.9100054139271379,0.8350142106465401,0.0024354194169781975,0.8340432810990662,0.832361136829362,0.8376234173019463,0.8328428062586817,0.8382004117436448
28,1,4,3,0.3634467554744333,0.8094859328120947,0.8506078137628925,0.0033242601698713183,0.8530388559443312,0.8454677480080088,0.8542094048053939,0.8479759534509294,0.8523471066058002
