param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
200,4,2,log2,5,0.8684644982936314,0.004041906414155068,0.8730755275203752,0.8732653232108966,0.8631410547494464,0.8670029271427874,0.8658376588446519
10,12,10,sqrt,15,0.8715182264628103,0.0051844806840712285,0.8724154292731943,0.8804398794239142,0.8709081128661549,0.8645452449648254,0.8692824657859622
70,7,4,log2,10,0.8798518785608112,0.00600455150532403,0.8851038294071675,0.888936027687842,0.8749125000873252,0.8742530197075652,0.8760540159141557
142,9,6,sqrt,1,0.8119209030183432,0.005142576409606282,0.8192544936920845,0.8105141230322652,0.805111671545238,0.8162166504823847,0.8085075763397442
157,12,9,log2,4,0.8616206173098572,0.0045688340721830685,0.8684394886680809,0.8652876242045328,0.857334972719588,0.86036970022984,0.8566713007272448
112,5,2,sqrt,8,0.8774058152561253,0.005364467620543975,0.8816079602545496,0.8858295188121021,0.872714697889523,0.8724939396268069,0.874382959697645
54,14,7,log2,13,0.8783598958107468,0.006184121684791762,0.884027855308697,0.8866654571843251,0.874355015613757,0.8698839621916545,0.8768671887553006
216,2,4,sqrt,6,0.8730018451004069,0.004562552770871047,0.8766802500837333,0.8800323769119125,0.868073185555703,0.8698588125161552,0.8703646004345305
37,6,8,log2,8,0.8758755141810294,0.00504608104932038,0.8784630735737412,0.8845923579323434,0.8713265755223798,0.8732477312896894,0.8717478325869935
178,11,3,sqrt,13,0.8798057365513495,0.004907056989766998,0.8829518812102266,0.8876828179077816,0.877094933038989,0.8738394472660208,0.8774596033337293
126,1,8,log2,10,0.8792031708231075,0.005542374305436553,0.8829421123143909,0.8880791559673998,0.8745142968919193,0.8733127012847294,0.8771675876570981
88,15,2,sqrt,3,0.8453293941841243,0.00382724002952276,0.850199564586357,0.8478634029250864,0.8397127348176299,0.8466666200931936,0.8422046484983549
101,13,5,log2,1,0.7853606815074358,0.008520386063793307,0.795845428156749,0.7868754884447918,0.7697505291910886,0.7876976170682464,0.7866343446763027
166,3,6,sqrt,12,0.8797620350358178,0.0052238342703785365,0.882022440549291,0.8890727922295412,0.8758178884053011,0.8759310619450479,0.875965992049908
217,8,1,log2,14,0.8791220189626971,0.005513211679853908,0.8826155520821704,0.8877051468125488,0.8762496245013728,0.8717366549534381,0.8773031164639558
48,7,10,sqrt,6,0.8699939963058447,0.005361501969506912,0.8723686781288378,0.8793883275650329,0.8660206925941192,0.8674493338829004,0.8647429493583341
