param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
200,4,2,log2,5,0.8486349494139871,0.005921135436046959,0.852963356346256,0.8389719189596673,0.8560560669760365,0.8493151068108901,0.8458682979770856
10,12,10,sqrt,15,0.8456654240312027,0.006323554121648385,0.850185594096766,0.8350267551699156,0.8523360773816018,0.8486812624300352,0.8420974310776943
70,7,4,log2,10,0.8522101428730501,0.006365013684642109,0.8552371635408224,0.8411182066623589,0.8597894831063411,0.8549836224234337,0.8499222386322951
142,9,6,sqrt,1,0.8303857021620449,0.010939770116278771,0.8380280627218603,0.8113459822490007,0.8414398840842403,0.8358119277988033,0.8253026539563193
157,12,9,log2,4,0.8461115908871658,0.00625434696087981,0.851567767001146,0.8357117882187742,0.8529265652403769,0.8473511962204302,0.843000637755102
112,5,2,sqrt,8,0.8520821420616812,0.005826211342835117,0.8552497414540069,0.8425576431954036,0.8598899024058674,0.8532222287490107,0.8494911945041175
54,14,7,log2,13,0.8509569905606927,0.00640964382901094,0.8527148726835677,0.8405677186916959,0.8598784339064783,0.8535282418790435,0.8480956856426781
216,2,4,sqrt,6,0.8503810611388072,0.0060628141061897555,0.8544875199150291,0.8399596085045916,0.8574924265946109,0.8519103443067293,0.8480554063730755
37,6,8,log2,8,0.8512203032059789,0.006260152890130642,0.8542985717080807,0.8406667393937359,0.8591514429330267,0.8534507595782949,0.8485340024167563
178,11,3,sqrt,13,0.8517493004060641,0.006013713532582337,0.8539776951672862,0.8416603030481032,0.8592154986979058,0.8549671189730939,0.8489258861439313
126,1,8,log2,10,0.8522979384652769,0.0061359383941048595,0.8551130614640692,0.8420155468096592,0.8599366155619146,0.8550611047241825,0.8493633637665594
88,15,2,sqrt,3,0.8416976442977869,0.007566241374376202,0.8473474578639908,0.8287322273224411,0.8502667125406642,0.8435207174245665,0.8386211063372717
101,13,5,log2,1,0.8268600520847882,0.010839344057556115,0.8336523464795819,0.8073398396088403,0.8378527612510174,0.8320829871804554,0.8233723259040459
166,3,6,sqrt,12,0.8523342921145367,0.005915467966675906,0.8551751125024458,0.8421302318035474,0.8590258488787443,0.855650753424466,0.8496895139634801
217,8,1,log2,14,0.8502920261293176,0.006790351639186711,0.8528166140257707,0.8382449279862154,0.857735223118257,0.8546085185775704,0.8480548469387754
48,7,10,sqrt,6,0.84966351357295,0.006366311945517156,0.853463957290997,0.8393403095375956,0.8579931244947567,0.8510647522664272,0.8464554242749732
136,14,3,log2,5,0.848705224199481,0.005962916616125885,0.8529004667803337,0.8388924786224374,0.8561771855183622,0.849558742493028,0.8459972475832439
77,2,7,sqrt,14,0.8511577710343872,0.00632476934407689,0.8527282891242978,0.8407965292404777,0.8595153579989985,0.8545562110315775,0.8481924677765843
19,11,3,log2,11,0.8498275643609402,0.007076280480301733,0.8514322050479359,0.8373680073622172,0.8584017946802946,0.8538345347285742,0.8481012799856785
195,5,8,sqrt,1,0.8306940131071899,0.009978312924910337,0.8372524247421529,0.8133655570194208,0.8403198872170986,0.8367993376242304,0.8257328589330468
207,7,6,log2,3,0.8427935317892729,0.007111193093731226,0.8484453699304022,0.8309615917158273,0.8503411179269429,0.8455014111848638,0.8387181681883279
58,10,5,sqrt,9,0.8522327664134195,0.006196820536804068,0.8543550325628196,0.8421542876803141,0.8605064041778904,0.8550253006285298,0.8491228070175438
118,4,10,log2,12,0.8524175196956477,0.006389061133350183,0.8549185230734829,0.8418857569629176,0.8608938156816344,0.8549315945969382,0.8494579081632654
148,12,1,sqrt,7,0.8516354330339004,0.0055984140328326285,0.8556049976241717,0.8424619791273312,0.8587377377965377,0.8521956581939631,0.8491767924274976
80,9,9,log2,7,0.8512387358489801,0.0058014314601919645,0.8548651368197445,0.8417031001311884,0.8584893468829458,0.8528846073157839,0.8482514880952381
131,8,1,sqrt,13,0.8512014192586846,0.00641339644246795,0.8537602370237862,0.8403668800926432,0.8593743793723654,0.8539841846596234,0.8485214151450053
182,13,7,log2,9,0.8528681415490832,0.00573585870764241,0.8557000307460101,0.8434202981250403,0.8600188530941172,0.8554241806316626,0.8497773451485857
27,3,5,sqrt,4,0.8433443076543181,0.005421050796096922,0.8469063923749895,0.835446614135345,0.8497246161549198,0.8461349758462215,0.8385089397601146
43,1,2,log2,2,0.8333576851095188,0.008256119835372763,0.8367683148391424,0.8210796613156327,0.8439405763899961,0.8381993337081574,0.8268005392946652
226,15,9,sqrt,11,0.8529664890485792,0.005824792969557734,0.8557100930765577,0.8433649136645771,0.8604071037563532,0.8553576073913081,0.8499927273540996
174,6,4,log2,15,0.8500907373313484,0.00621193242826639,0.8528445649439582,0.8396407282776832,0.8577167616314358,0.8531254458029488,0.8471261860007161
94,10,7,sqrt,5,0.8487898576789338,0.006059830432178817,0.8533404142326075,0.8391859043750927,0.8565654361805981,0.8492314706812009,0.8456260629251701
212,12,8,log2,5,0.8486062630208338,0.005877907939740633,0.8528772675182381,0.838820310992137,0.8557136903113558,0.8496753855233972,0.8459446607590404
56,4,3,sqrt,15,0.8483420571388605,0.007031555173587998,0.8509030941666433,0.8361291297087281,0.8570689312757166,0.8515352404608658,0.8460738900823488
109,9,8,log2,11,0.8524308961231195,0.005916274913123292,0.8548838639349302,0.8428737262273391,0.8600954962363742,0.8552127126917127,0.8490886815252418
161,7,4,sqrt,2,0.8383432211355146,0.008059692289536112,0.8431067445565585,0.8241915407229631,0.8467741348975248,0.8427137266748905,0.8349299588256355
144,4,1,log2,4,0.846167358383821,0.006419691797006193,0.8516211532548843,0.8353045166307228,0.8531355157048512,0.847454972153924,0.8433206341747226
209,15,10,sqrt,10,0.8530272173121185,0.006069405147992848,0.8558906560080499,0.8430644949244896,0.8607136763253809,0.8556899141540862,0.8497773451485858
215,14,10,sqrt,10,0.8530300090807661,0.0060597448806226735,0.8559264331833301,0.8430717676314192,0.8606940959605708,0.8556552289364225,0.8498025196920875
210,15,10,sqrt,10,0.8530316891559491,0.0060554514201575475,0.8559146937976913,0.8430779214603596,0.8606857043756521,0.8556725715452544,0.8498075546007877
211,14,9,sqrt,10,0.8527563791349584,0.005866956946865117,0.8556094697710819,0.8431249143359039,0.8604194114142338,0.8547724342029813,0.8498556659505908
215,14,9,sqrt,10,0.852768232165281,0.005899893041086862,0.8556558682952735,0.8430561033395712,0.8604686420457566,0.8547489377652091,0.8499116093805943
222,15,10,sqrt,10,0.853039631779432,0.0060198851448560265,0.8559230790731476,0.8431316276038389,0.8606862638146467,0.8555612431853337,0.8498959452201932
210,14,9,sqrt,10,0.8527450830598429,0.005860213853282812,0.8555792827794393,0.8431422569447358,0.8604188519752392,0.8547590076671114,0.8498260159326888
208,15,9,sqrt,10,0.852745974593257,0.005856921513837372,0.8556027615507169,0.8431277115308767,0.8603852856355647,0.8547668398130355,0.8498472744360902
228,8,4,sqrt,15,0.8504845113183281,0.006139766504391786,0.8533096682226011,0.8400373705248377,0.8579455721802177,0.8533648856926275,0.847765059971357
226,11,3,log2,15,0.8504888420840828,0.005932541707498538,0.8527780417586718,0.8401839435414167,0.8576115871004557,0.8535248852450763,0.8483457527747942
230,12,3,sqrt,13,0.8519799944138574,0.005920913751318,0.8540922939318556,0.8418449179163134,0.8594085051510346,0.8548015250306992,0.8497527300393843
228,4,3,log2,12,0.8521790257776495,0.006332929117557338,0.8549509461385807,0.8414756881798933,0.8602750761536331,0.8546191479184675,0.8495742704976728
230,10,4,sqrt,14,0.8515241179746453,0.006267515989901598,0.8544025491237386,0.840821144556239,0.8593777360063328,0.8539478211249759,0.8490713390619405
230,2,4,sqrt,15,0.8505205332303293,0.006142566366813787,0.8533487995080637,0.8400709368645123,0.8580003972016861,0.8533755150335245,0.8478070175438597
135,11,1,sqrt,5,0.8486764120924499,0.005864979616069906,0.8529091315649718,0.8391870232530818,0.8561184444239317,0.8493520297845321,0.8458154314357322
215,9,1,log2,4,0.8462338220873086,0.006171966645941408,0.8512331945104397,0.835766053801248,0.8529509008366409,0.8478454605721384,0.8433735007160759
73,11,2,log2,5,0.8486174269578743,0.006285485872360451,0.8530466500824552,0.8387176539366323,0.8570163440102265,0.8487475559508926,0.8455589308091658
228,1,2,log2,9,0.8527047747971341,0.005941818246632188,0.8557699080414791,0.8428793206172851,0.8603226284681722,0.854745021692247,0.8498069951664878
228,5,3,log2,9,0.8530347744276401,0.005789989615029512,0.8562221538977555,0.8433184802280275,0.8604227680482013,0.8546180290404781,0.8505924409237379
228,5,1,log2,9,0.8525291270536087,0.0059297796963231645,0.8556586633870924,0.8423338675975731,0.8597178749150353,0.8547467000092308,0.850188529359112
