mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8499073505401611,0.028646494673055196,0.06936745643615723,0.007658291746013852,88,9,4,sqrt,3,"{'model__n_estimators': 88, 'model__min_samples_split': 9, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 3}",0.8491790815328284,0.8308407528929989,0.8489366463310593,0.8432370818543165,0.8373643371822412,0.8419115799586889,0.0070308707956840116,372
4.163055276870727,0.22092861351231569,0.18703694343566896,0.01465672223419006,165,13,2,sqrt,13,"{'model__n_estimators': 165, 'model__min_samples_split': 13, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 13}",0.8551214467395254,0.8403232438510662,0.8591920022601336,0.8545273999233569,0.8492917561761547,0.8516911697900473,0.006497082651593842,136
1.612001609802246,0.13245220501663815,0.12763667106628418,0.024457791888128404,162,12,7,sqrt,3,"{'model__n_estimators': 162, 'model__min_samples_split': 12, 'model__min_samples_leaf': 7, 'model__max_features': 'sqrt', 'model__max_depth': 3}",0.8475134863180256,0.8316874638112901,0.8497372035322979,0.8450672865250728,0.8389122918904404,0.8425835464154254,0.006539890036149901,350
3.3594401359558104,0.07333802386218904,0.19255847930908204,0.05538443362453198,208,11,2,log2,7,"{'model__n_estimators': 208, 'model__min_samples_split': 11, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 7}",0.8547991726528217,0.8421134486337101,0.8590915829606072,0.852839292757223,0.8486430921052631,0.8514973178219251,0.005771994636710446,156
0.43609061241149905,0.012061332591745822,0.057311725616455075,0.030166503399904166,28,3,4,log2,5,"{'model__n_estimators': 28, 'model__min_samples_split': 3, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 5}",0.8530460910640913,0.8377970970710572,0.8550574683707178,0.8463993107711586,0.8446853741496598,0.847397068285337,0.006182255903479802,299
0.5151499748229981,0.0684870298528498,0.10261969566345215,0.04559560023629342,17,3,3,log2,12,"{'model__n_estimators': 17, 'model__min_samples_split': 3, 'model__min_samples_leaf': 3, 'model__max_features': 'log2', 'model__max_depth': 12}",0.8513469547474635,0.8367140231775574,0.8552574678112788,0.8510899270211832,0.8468979368063014,0.8482612619127569,0.006350860119604022,284
0.600013256072998,0.03745849738409701,0.08940496444702148,0.037245959136960764,58,12,10,log2,2,"{'model__n_estimators': 58, 'model__min_samples_split': 12, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': 2}",0.8442767699918942,0.8230514040520166,0.8454577749432869,0.8409316337576678,0.8352955491407089,0.8378026263771149,0.008175457401959723,404
0.8478755950927734,0.034732009666434784,0.0802459716796875,0.015466322764694878,30,11,4,sqrt,15,"{'model__n_estimators': 30, 'model__min_samples_split': 11, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 15}",0.849830058417419,0.8384049275386642,0.8559825007482497,0.8501030766347506,0.8474886994271393,0.8483618525532446,0.005712521698886574,275
0.7960636615753174,0.02888787305638035,0.1445470333099365,0.06641033659687659,116,12,10,log2,1,"{'model__n_estimators': 116, 'model__min_samples_split': 12, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': 1}",0.8402054392486793,0.816123870982179,0.8406642219182603,0.8400798878884255,0.8302167248478339,0.8334580289770755,0.009510887060322232,429
0.6962782382965088,0.02781625112204843,0.08175573348999024,0.014489326334387174,67,9,10,sqrt,3,"{'model__n_estimators': 67, 'model__min_samples_split': 9, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 3}",0.8484031640439389,0.8307394944349806,0.8496681128164676,0.8462188916954079,0.8386373299319728,0.8427333985845535,0.007113602170832443,345
0.8528415203094483,0.03363728556176893,0.06644887924194336,0.013583614426654927,40,5,8,sqrt,10,"{'model__n_estimators': 40, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.8541604941722335,0.8419982042008274,0.8599561959267247,0.855209076338248,0.8492268617973504,0.8521101664870768,0.006098073319702809,96
1.3874734878540038,0.03733627122703964,0.13092989921569825,0.053164379503719154,168,6,2,log2,2,"{'model__n_estimators': 168, 'model__min_samples_split': 6, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 2}",0.8446728345026133,0.8234511232136414,0.8476932931656136,0.8415649186995282,0.8346902412280702,0.8384144821618934,0.008636673428912474,395
1.0865292072296142,0.049705044810411256,0.07384800910949707,0.011331297742916975,93,13,3,sqrt,4,"{'model__n_estimators': 93, 'model__min_samples_split': 13, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 4}",0.8505892053553961,0.8346043787290105,0.8536342555685159,0.8456023899233849,0.8440814648227712,0.8457023388798157,0.006520716345896111,324
1.7821929931640625,0.05119350766309179,0.11558766365051269,0.002766295459306987,165,2,10,sqrt,4,"{'model__n_estimators': 165, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 4}",0.850559297872935,0.8354443763793669,0.853161529618099,0.8464281218793794,0.8418923984067311,0.8454971448313022,0.006313275792720063,328
1.4543320178985595,0.03674698006583312,0.10034260749816895,0.010328859255353763,97,5,1,sqrt,6,"{'model__n_estimators': 97, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 6}",0.8537560443860581,0.8403612857026974,0.8578722856719282,0.8518574773217418,0.8478282760472611,0.8503350738259373,0.005942908362393847,215
1.1575190544128418,0.031086646842777208,0.14234886169433594,0.03531266109125808,180,5,5,log2,1,"{'model__n_estimators': 180, 'model__min_samples_split': 5, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 1}",0.8381485311792493,0.8162002344049386,0.8426200206432989,0.8377151392583517,0.8283985633727176,0.8326164977717111,0.009422894268697284,439
0.5465165138244629,0.013281354714484384,0.07337636947631836,0.024903224438889142,35,15,8,log2,6,"{'model__n_estimators': 35, 'model__min_samples_split': 15, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 6}",0.8526726667971043,0.841683240046881,0.8565078139641568,0.8510516054500548,0.8480803011994271,0.8499991254915248,0.004968991853523245,235
1.2053592681884766,0.05120028507466191,0.10438308715820313,0.014168130593467073,150,1,4,sqrt,2,"{'model__n_estimators': 150, 'model__min_samples_split': 1, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 2}",0.8452173183889091,0.8257037043253026,0.8457766551701953,0.8410177873628325,0.8332203276047261,0.8381871585703932,0.007688200111907207,399
0.5020220756530762,0.05182677315581654,0.06316552162170411,0.0065875005697867495,29,8,6,log2,6,"{'model__n_estimators': 29, 'model__min_samples_split': 8, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 6}",0.8535209771640998,0.83866115059818,0.8554815231286067,0.8495942668691836,0.8465675908521304,0.8487651017224401,0.005921740705382745,261
0.59526047706604,0.02182554851502285,0.05616993904113769,0.00887046014278872,25,4,10,log2,13,"{'model__n_estimators': 25, 'model__min_samples_split': 4, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': 13}",0.852535148279621,0.8419621203856772,0.8587573181613478,0.8532303406144319,0.8472134577515216,0.8507396770385199,0.00571295745571975,200
2.2064561367034914,0.0932261766588533,0.11715631484985352,0.0034300465563171863,159,3,8,log2,6,"{'model__n_estimators': 159, 'model__min_samples_split': 3, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 6}",0.8547242641920787,0.8402955516208346,0.8579290687298777,0.8504572015183174,0.8477418434479056,0.8502295859018026,0.006073053222789239,223
1.934092140197754,0.039207009674725145,0.11851277351379394,0.007832680089879574,171,9,2,log2,4,"{'model__n_estimators': 171, 'model__min_samples_split': 9, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 4}",0.8510654890013136,0.8348633989834995,0.8534339764084575,0.8465691005060126,0.8428328074650913,0.8457529544728748,0.006557391138881616,322
1.484189748764038,0.04787622755460572,0.13089613914489745,0.011006932049305,185,8,7,log2,2,"{'model__n_estimators': 185, 'model__min_samples_split': 8, 'model__min_samples_leaf': 7, 'model__max_features': 'log2', 'model__max_depth': 2}",0.8437591189870586,0.8250818878828312,0.8467201490345482,0.8432163826115173,0.8350026852846402,0.838756044760119,0.007866671418328192,389
2.313902711868286,0.07702499000069042,0.1429990768432617,0.021963787545224354,186,8,5,sqrt,5,"{'model__n_estimators': 186, 'model__min_samples_split': 8, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.8524216675517791,0.8384863259123753,0.8559285148852731,0.8492071350849368,0.8453687231471536,0.8482824733163035,0.006015053183264274,281
1.4205931663513183,0.07981620158680675,0.11599340438842773,0.013686685386008588,126,8,7,log2,4,"{'model__n_estimators': 126, 'model__min_samples_split': 8, 'model__min_samples_leaf': 7, 'model__max_features': 'log2', 'model__max_depth': 4}",0.8515096290913156,0.8347534692210652,0.8524132799628532,0.8492846173856856,0.8425200836913713,0.8460962158704582,0.006645643213175095,311
2.2872485637664797,0.06621380696575102,0.1640104293823242,0.030295655181934025,209,15,6,sqrt,4,"{'model__n_estimators': 209, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_features': 'sqrt', 'model__max_depth': 4}",0.8513136931548202,0.8353450759578296,0.8537520174768741,0.8471000081118655,0.8429248344074473,0.8460871258217674,0.006518975732022063,312
1.3103524684906005,0.03715667334508691,0.11561727523803711,0.06599061765313509,79,12,5,sqrt,7,"{'model__n_estimators': 79, 'model__min_samples_split': 12, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 7}",0.8546314671436959,0.8425814193526732,0.8589654294673301,0.8518885261859408,0.848686448263516,0.8513506580826313,0.005532365051155195,166
3.110568332672119,0.09749581283943262,0.15415606498718262,0.012582991054009503,179,15,2,log2,8,"{'model__n_estimators': 179, 'model__min_samples_split': 15, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 8}",0.8558576739245884,0.8424961049060002,0.859778853765444,0.8547232035714585,0.8505543993913355,0.8526820471117654,0.0058804063374634855,22
1.0731655597686767,0.0294243100956402,0.08196053504943848,0.007618698538911017,85,1,4,log2,5,"{'model__n_estimators': 85, 'model__min_samples_split': 1, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 5}",0.8525600245968079,0.8380840892752748,0.8563181641449955,0.8494602812299825,0.8450257899212317,0.8482896698336585,0.006306659470241442,280
0.8387662410736084,0.012282335168171727,0.0809873104095459,0.02122204920836201,42,13,5,log2,9,"{'model__n_estimators': 42, 'model__min_samples_split': 13, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 9}",0.8542742544092574,0.843105613690591,0.8600132587041716,0.8547813852268944,0.8505848885606874,0.8525518801183203,0.005598400518721104,40
2.9119945526123048,0.07950401467059001,0.13089709281921386,0.014855444737606409,136,6,1,sqrt,10,"{'model__n_estimators': 136, 'model__min_samples_split': 6, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.8554674791066886,0.8423875737410526,0.8599740979745512,0.8544798476088179,0.850205312388113,0.8525028621638446,0.005934889796025756,46
1.050203800201416,0.03393430885101414,0.10821561813354492,0.02421060338154992,100,13,6,log2,3,"{'model__n_estimators': 100, 'model__min_samples_split': 13, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 3}",0.8483847164379349,0.8295126447198748,0.8488916114919959,0.843256102780132,0.8386985879878266,0.8417487326835527,0.007160368621632835,375
2.0364151000976562,0.040183132353384075,0.13785572052001954,0.01848504226407363,131,13,8,log2,7,"{'model__n_estimators': 131, 'model__min_samples_split': 13, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 7}",0.854694077200436,0.8421607212287517,0.8592378762576888,0.8528065655760404,0.8486338614393125,0.8515066203404459,0.005783089672791741,153
1.2460468769073487,0.03651745468065477,0.094158935546875,0.009881514774644742,133,8,4,log2,3,"{'model__n_estimators': 133, 'model__min_samples_split': 8, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 3}",0.8480213545014954,0.8303601947966579,0.8504611175912795,0.8440947018330018,0.8396085078768352,0.8425091753198538,0.007101309723008667,354
2.2352038383483888,0.08172805068289601,0.1250523567199707,0.05114785846234975,101,9,6,log2,12,"{'model__n_estimators': 101, 'model__min_samples_split': 9, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 12}",0.8536165693043015,0.841848274550281,0.8594940993172047,0.8536653044327148,0.85031216433942,0.8517872823887844,0.00578321942620801,129
2.9843148708343508,0.08705897446065987,0.1318286418914795,0.007691113973075273,145,2,1,log2,10,"{'model__n_estimators': 145, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10}",0.8546222433406937,0.8427797404762505,0.859713958842073,0.8546708960254658,0.8498746867167921,0.8523323050802549,0.005700754610384749,72
0.7998153686523437,0.028283447929264002,0.05500726699829102,0.008280295330800038,33,7,4,log2,12,"{'model__n_estimators': 33, 'model__min_samples_split': 7, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",0.8511731000363362,0.838168844282953,0.8571170430292503,0.8521338401850624,0.8472050662370211,0.8491595787541245,0.006337792992812223,257
1.0859983444213868,0.0294761383787135,0.0939753532409668,0.047442293911290914,56,13,3,sqrt,9,"{'model__n_estimators': 56, 'model__min_samples_split': 13, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 9}",0.8541674819017806,0.8419355470334349,0.8598619304561387,0.8554362085700461,0.8492559523809524,0.8521314240684706,0.006116405922623207,94
1.3554258823394776,0.030641030989696214,0.11604275703430175,0.00765958210774045,175,5,4,sqrt,2,"{'model__n_estimators': 175, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 2}",0.8450177488330493,0.825564124296156,0.8449570770431413,0.8433780604809499,0.8338010204081633,0.8385436062122918,0.007712044473012706,391
1.7822211742401124,0.03532390908728031,0.13084349632263184,0.011813337756758883,191,3,7,sqrt,3,"{'model__n_estimators': 191, 'model__min_samples_split': 3, 'model__min_samples_leaf': 7, 'model__max_features': 'sqrt', 'model__max_depth': 3}",0.8493459485144087,0.8305042503377613,0.8514832126343702,0.8452790341845198,0.8393307487468673,0.8431886388835854,0.007574420072845527,338
1.4272698879241943,0.02634095263548753,0.1095883846282959,0.011897792840142061,184,7,1,log2,2,"{'model__n_estimators': 184, 'model__min_samples_split': 7, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 2}",0.8456323895239959,0.8250407691167297,0.8462941362401784,0.8402695377075868,0.8351344320622988,0.838474252930158,0.007838691634520018,393
3.2548327922821043,0.03556069401274023,0.14491920471191405,0.014428446054952023,153,2,4,log2,11,"{'model__n_estimators': 153, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 11}",0.8552405176510047,0.8428323277417407,0.8607450049090771,0.8541100584334029,0.8497258771929824,0.8525307571856416,0.005987282277032471,44
0.6131193161010742,0.022240752916826874,0.06913523674011231,0.017079225101609415,40,9,5,log2,6,"{'model__n_estimators': 40, 'model__min_samples_split': 9, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 6}",0.8531735472510271,0.839414435204377,0.8585215146251338,0.8492725894473021,0.8461502528643036,0.8493064678784288,0.006444944387749645,252
0.8197561264038086,0.033529788605370085,0.07796249389648438,0.01963222859081324,57,12,8,log2,6,"{'model__n_estimators': 57, 'model__min_samples_split': 12, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 6}",0.854213880425972,0.8390790515271286,0.8571514485274168,0.8499579022156583,0.8468666084854994,0.849453778236335,0.006268895331122989,247
2.8161207675933837,0.05406703435604252,0.12051758766174317,0.006471339147945268,129,7,1,sqrt,11,"{'model__n_estimators': 129, 'model__min_samples_split': 7, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 11}",0.8533499175447913,0.8428770828613068,0.8596708820394908,0.8548910352698316,0.8505174767275331,0.8522612788885906,0.005551701588840675,82
