,checking_status_no_checking,purpose_new_car,employment_1,checking_status_0,credit_history_all_paid,credit_amount,checking_status_0_X_200,class
339,False,False,False,False,False,1521.0,True,0
797,True,False,True,False,False,1258.0,False,0
424,False,False,False,False,False,2762.0,True,1
450,True,False,False,False,False,11054.0,False,0
393,False,False,False,True,False,1957.0,False,0
508,True,False,False,False,False,1413.0,False,0
62,False,False,False,False,False,1953.0,True,1
195,False,False,False,False,False,1501.0,True,1
312,False,False,True,False,False,3749.0,False,0
676,True,False,False,False,False,5150.0,False,0
245,True,False,False,False,False,1258.0,False,0
286,False,False,False,True,False,4788.0,False,0
815,False,True,False,False,False,7432.0,True,0
423,True,False,False,False,False,1591.0,False,0
884,False,False,False,False,False,4057.0,True,1
306,True,False,False,False,False,4811.0,False,0
554,False,False,False,False,False,1199.0,True,0
140,False,True,True,False,False,709.0,False,0
300,True,True,False,False,False,672.0,False,0
75,False,False,False,True,False,1526.0,False,0
641,False,False,False,False,False,1308.0,True,0
136,True,False,False,False,False,8613.0,False,0
106,True,True,False,False,True,6458.0,False,1
416,False,True,True,True,False,2579.0,False,1
922,False,False,True,True,False,1366.0,False,1
397,False,False,False,True,False,2348.0,False,0
496,False,False,True,False,False,9034.0,True,1
76,False,False,True,True,False,3965.0,False,1
645,True,False,True,False,False,7980.0,False,1
134,True,False,False,False,False,10144.0,False,0
849,False,False,False,True,False,709.0,False,1
579,True,False,True,False,False,937.0,False,0
912,False,False,False,False,False,2991.0,True,0
701,False,False,False,True,False,6331.0,False,1
619,True,True,False,False,False,640.0,False,0
970,False,False,False,False,False,1514.0,True,0
497,True,False,False,False,False,1585.0,False,0
61,False,False,False,False,False,1537.0,True,0
268,False,True,False,True,False,8978.0,False,1
780,False,False,False,False,False,4933.0,True,1
507,False,True,False,False,True,6850.0,True,1
400,True,False,True,False,False,1473.0,False,0
875,False,True,False,False,False,1322.0,True,0
470,False,False,True,False,False,3092.0,True,1
625,True,False,False,False,False,1979.0,False,0
16,True,False,False,False,False,2424.0,False,0
406,True,False,False,False,False,2197.0,False,0
123,False,True,False,False,False,781.0,False,0
714,False,True,False,False,False,14027.0,True,1
495,False,False,False,True,False,2996.0,False,1
125,False,True,False,True,False,2121.0,False,0
158,False,True,False,False,False,3512.0,True,0
170,False,True,False,True,False,950.0,False,1
454,False,True,False,True,False,4817.0,False,1
852,True,False,False,False,False,1471.0,False,0
889,True,False,True,False,True,7824.0,False,0
382,True,True,False,False,False,1283.0,False,0
773,True,False,False,False,False,2223.0,False,0
121,True,False,False,False,False,3868.0,False,0
132,True,False,True,False,False,2708.0,False,0
782,False,False,False,False,False,1410.0,True,0
856,True,False,False,False,False,894.0,False,0
109,False,False,False,False,False,1410.0,True,0
724,True,True,False,False,False,2570.0,False,1
74,False,False,False,True,False,1977.0,False,1
163,False,True,False,False,False,7308.0,True,0
732,False,False,False,False,False,760.0,True,0
82,True,False,False,False,False,1568.0,False,0
561,False,False,False,True,True,1546.0,False,1
199,False,False,False,False,False,4297.0,True,1
274,False,False,True,True,False,11998.0,False,1
19,True,False,False,False,False,3430.0,False,0
490,True,False,False,False,False,1934.0,False,0
687,False,True,False,False,False,2862.0,True,0
17,False,False,True,True,False,8072.0,False,0
979,False,True,False,False,True,1264.0,True,1
179,False,True,False,True,False,571.0,False,0
288,False,False,False,False,False,1092.0,True,0
950,False,False,False,False,False,3590.0,True,0
120,False,False,False,True,False,1835.0,False,1
206,True,False,False,False,False,1935.0,False,0
321,False,False,True,True,False,1938.0,False,1
926,False,False,True,True,False,1049.0,False,0
549,True,False,False,False,False,8858.0,False,0
885,False,False,True,True,False,795.0,False,1
98,False,False,False,False,False,2337.0,True,0
918,False,False,False,True,False,2359.0,False,1
748,True,False,False,False,False,5248.0,False,0
566,False,True,False,True,False,1372.0,False,1
808,False,False,False,False,True,9283.0,True,0
915,False,False,False,False,False,18424.0,True,1
376,True,False,False,False,False,2320.0,False,0
225,True,False,False,False,False,2613.0,False,0
31,False,False,False,True,False,4020.0,False,0
857,True,False,False,False,False,3343.0,False,0
318,True,False,False,False,False,701.0,False,0
756,False,True,False,False,False,1299.0,False,0
108,False,False,True,True,False,7721.0,False,0
351,False,False,False,False,False,959.0,True,1
526,True,False,False,False,False,1532.0,False,0
809,False,True,True,False,False,1778.0,True,1
905,False,False,False,True,False,1107.0,False,0
812,False,False,False,True,False,9629.0,False,1
574,False,False,False,False,False,1082.0,True,0
556,False,True,True,False,False,2278.0,True,1
777,False,False,False,True,False,3509.0,False,0
580,False,True,False,False,False,1056.0,True,1
629,True,False,False,False,False,3832.0,False,0
391,False,False,True,False,False,983.0,True,0
474,False,False,False,False,False,1245.0,True,1
734,True,True,False,False,False,3380.0,False,0
270,True,True,False,False,False,2662.0,False,0
662,True,False,False,False,False,2241.0,False,0
557,True,True,False,False,False,5003.0,False,1
94,False,True,False,False,False,1318.0,True,0
859,True,True,False,False,False,3577.0,False,0
632,False,False,True,False,False,1444.0,True,0
866,False,False,True,True,False,2389.0,False,0
951,False,False,False,True,False,2145.0,False,1
851,True,False,False,False,False,4042.0,False,0
467,True,False,False,False,False,7238.0,False,0
595,False,True,True,False,True,931.0,True,1
631,False,False,False,True,True,1553.0,False,1
897,True,False,False,False,False,1592.0,False,0
553,False,True,True,False,False,1995.0,True,0
446,False,True,True,True,False,1842.0,False,1
940,True,True,True,False,False,3527.0,False,0
452,True,False,False,False,False,2759.0,False,0
867,True,False,False,False,False,3331.0,False,0
943,True,True,False,False,False,1455.0,False,0
743,False,False,False,True,True,2483.0,False,0
248,False,False,False,False,False,1925.0,False,0
111,False,False,True,False,False,392.0,False,0
985,False,False,False,True,False,1433.0,False,0
116,False,False,False,True,False,7174.0,False,1
438,False,False,False,True,False,3394.0,False,0
896,False,False,True,True,False,2606.0,False,0
539,False,False,True,False,False,3049.0,False,0
961,False,True,False,False,False,2353.0,True,0
960,True,False,False,False,False,1740.0,False,0
924,False,False,True,True,True,6872.0,False,1
291,False,False,True,False,False,9398.0,True,1
616,False,False,False,False,False,9157.0,True,0
969,False,True,False,True,False,3939.0,False,0
361,False,False,False,False,False,3399.0,False,0
456,False,True,False,True,False,3905.0,False,0
207,False,False,False,False,False,1424.0,True,0
968,True,False,False,False,False,7166.0,False,0
796,False,False,False,True,False,7511.0,False,1
868,True,False,False,False,False,7409.0,False,0
945,False,True,True,False,False,8358.0,True,0
520,True,False,False,False,False,5507.0,False,0
73,False,False,False,False,False,5954.0,True,0
3,False,False,False,True,False,7882.0,False,0
689,False,True,False,True,False,3651.0,False,0
142,False,False,False,True,False,3416.0,False,0
900,False,True,False,True,False,2625.0,False,1
427,True,False,False,False,False,1149.0,False,0
540,False,False,True,False,False,1534.0,True,1
89,False,False,False,True,False,1108.0,False,1
342,False,False,True,False,False,3213.0,True,0
453,True,False,False,False,False,2670.0,False,0
203,False,False,False,True,False,902.0,False,1
500,False,True,True,True,False,3123.0,False,1
478,False,False,False,False,False,1037.0,True,0
88,False,True,False,True,False,2249.0,False,0
844,True,False,False,False,False,3422.0,False,0
131,False,False,False,True,False,6887.0,False,1
672,True,True,False,False,False,10366.0,False,0
624,False,False,False,True,False,2600.0,False,1
323,False,False,False,True,False,2659.0,False,0
369,False,False,False,False,False,3001.0,True,0
728,False,False,False,False,True,6416.0,True,1
491,False,False,False,False,False,8318.0,True,1
914,False,False,False,True,True,3161.0,False,1
320,False,True,False,False,False,4249.0,True,1
153,False,False,False,False,False,7758.0,True,0
750,False,False,False,True,False,428.0,False,0
344,False,True,True,False,False,3949.0,False,0
461,False,True,True,True,False,1721.0,False,0
422,False,True,False,False,False,958.0,True,0
764,True,True,False,False,False,2463.0,False,0
675,True,False,False,False,False,4530.0,False,0
760,True,True,False,False,False,5045.0,False,0
303,False,True,False,True,False,1038.0,False,0
757,False,False,False,False,False,1271.0,False,1
231,True,True,False,False,False,2507.0,False,0
