Iteracja;estimator__loss;estimator__max_depth;estimator__subsample;estimator__learning_rate;estimator__max_features;estimator__n_estimators;estimator__min_samples_split;Srednia dokladnosc;Czas
1;log_loss;9;0.2;0.045929202883612456;0.6500000000000001;4851;64;0.9467391304347826;48.262405443191525
2;log_loss;13;0.8;0.004556754060844206;0.6000000000000001;801;8;0.9451086956521738;36.6478036403656
3;exponential;5;0.7000000000000001;0.045929202883612456;0.25;1701;4;0.9548913043478262;11.149012470245362
4;log_loss;7;0.9;0.002109491677524035;0.5;3351;64;0.9486413043478261;67.51708002090454
5;exponential;11;0.1;0.004556754060844206;0.3;1251;4;0.9364130434782609;6.305908966064453
6;log_loss;11;0.9;0.46293735614364534;0.5;1401;8;0.9519021739130435;6.004347658157348
7;log_loss;7;0.5;1.0;0.25;4251;4;0.5619565217391305;36.40165996551514
8;log_loss;11;0.2;0.045929202883612456;0.1;1201;2;0.9559782608695653;6.221919584274292
9;log_loss;13;0.4;0.002109491677524035;0.9500000000000001;2701;16;0.9486413043478261;102.9174292564392
10;exponential;5;0.8;0.0098431332023037;0.8;3701;2;0.9535326086956522;76.03924818038941
11;exponential;11;0.2;0.045929202883612456;0.1;3551;64;0.9497282608695652;8.732269287109375
12;exponential;5;0.5;0.004556754060844206;0.9000000000000001;3851;64;0.9478260869565217;61.14855399131775
13;log_loss;13;0.6;0.09921256574801249;0.8500000000000001;3051;32;0.9532608695652174;44.57730436325073
14;exponential;11;0.30000000000000004;0.46293735614364534;0.8500000000000001;2901;4;0.9519021739130433;11.401926040649414
15;log_loss;15;1.0;0.46293735614364534;0.55;4051;128;0.9502717391304347;10.411950254440308
16;exponential;5;0.7000000000000001;0.0009765625;0.6000000000000001;351;2;0.8972826086956521;5.572614908218384
17;exponential;1;0.4;0.21431099571326834;0.6500000000000001;2101;2;0.9402173913043479;5.238181018829346
18;exponential;11;0.7000000000000001;0.021262343752724643;0.35000000000000003;1501;32;0.9578804347826086;28.14190230369568
19;log_loss;9;0.5;0.045929202883612456;0.8;2251;64;0.9521739130434783;56.41349368095398
20;log_loss;1;0.2;0.021262343752724643;0.5;401;16;0.9266304347826086;0.6407668113708496
21;log_loss;1;0.2;0.0098431332023037;0.5;4301;32;0.9388586956521741;6.427360248565674
22;exponential;9;0.2;0.09921256574801249;0.6500000000000001;2201;16;0.947554347826087;23.048159313201904
23;log_loss;11;0.4;0.004556754060844206;0.35000000000000003;1951;2;0.9557065217391305;29.221668577194215
24;log_loss;13;0.5;0.0009765625;0.3;3201;2;0.95;71.99620027542115
25;log_loss;9;0.4;0.21431099571326834;0.6000000000000001;2401;128;0.7910326086956523;29.081446838378906
26;exponential;3;0.2;0.21431099571326834;0.6500000000000001;2601;32;0.9418478260869565;10.066407251358033
27;log_loss;3;0.5;0.045929202883612456;0.8;751;4;0.9494565217391304;6.505362510681152
28;log_loss;1;0.7000000000000001;0.021262343752724643;0.35000000000000003;3001;128;0.9459239130434783;6.207812261581421
29;exponential;3;0.4;0.004556754060844206;0.35000000000000003;3101;2;0.9432065217391304;11.370990800857545
30;log_loss;9;0.4;0.045929202883612456;0.4;2251;64;0.9480978260869565;24.00735936164856
31;exponential;5;0.7000000000000001;0.002109491677524035;0.35000000000000003;3751;4;0.9464673913043479;33.476251745224
32;log_loss;13;0.5;0.045929202883612456;1.0;3301;2;0.9551630434782608;74.95179705619812
33;exponential;13;0.5;0.46293735614364534;1.0;3051;32;0.9483695652173912;18.891645383834838
34;exponential;7;0.7000000000000001;0.021262343752724643;0.2;1851;128;0.9546195652173912;12.927765417099
35;log_loss;7;0.7000000000000001;0.045929202883612456;0.25;2001;4;0.9538043478260871;19.091456127166747
36;exponential;15;0.30000000000000004;0.0098431332023037;0.6500000000000001;51;4;0.9192934782608695;1.3467299938201904
37;log_loss;7;0.30000000000000004;0.09921256574801249;0.9500000000000001;2301;64;0.9472826086956522;35.637531757354736
38;log_loss;5;0.9;0.0098431332023037;0.8;4101;2;0.9532608695652172;90.40856866836548
39;log_loss;15;0.6;0.0009765625;0.7500000000000001;2401;128;0.9355978260869564;88.73997735977173
40;exponential;7;0.7000000000000001;0.045929202883612456;0.7500000000000001;2051;32;0.9521739130434781;49.21879959106445
41;exponential;7;0.8;0.045929202883612456;0.6000000000000001;2001;128;0.9502717391304347;41.53525075912476
42;log_loss;5;0.30000000000000004;0.46293735614364534;0.8500000000000001;2251;64;0.8396739130434782;22.517775058746338
43;log_loss;5;0.30000000000000004;0.021262343752724643;0.35000000000000003;4451;128;0.9483695652173914;20.247615146636964
44;exponential;11;0.9;0.46293735614364534;0.25;1401;8;0.955163043478261;3.9131224155426025
45;exponential;11;0.8;0.09921256574801249;0.25;3951;4;0.9581521739130435;14.298502206802368
46;exponential;3;0.4;0.021262343752724643;0.35000000000000003;4101;128;0.9486413043478261;14.533482933044434
47;exponential;15;0.6;0.045929202883612456;0.8;3901;2;0.954891304347826;61.18570246696472
48;log_loss;11;0.7000000000000001;0.021262343752724643;0.35000000000000003;4101;128;0.9513586956521738;67.36419534683228
49;exponential;13;0.6;0.09921256574801249;0.4;651;8;0.9532608695652174;15.181845045089721
50;log_loss;7;0.30000000000000004;0.004556754060844206;0.9000000000000001;4551;16;0.9505434782608697;69.79312543869018
51;log_loss;13;0.2;0.0009765625;0.3;601;16;0.926358695652174;4.619905567169189
52;log_loss;1;0.2;0.045929202883612456;0.8;401;8;0.9358695652173912;0.816254997253418
53;exponential;5;1.0;0.09921256574801249;0.25;4201;128;0.9516304347826088;31.888489770889283
54;exponential;5;0.30000000000000004;0.045929202883612456;0.8;2751;16;0.947554347826087;27.779622411727907
55;exponential;9;0.8;0.002109491677524035;0.55;101;8;0.6043478260869566;3.02931547164917
56;log_loss;1;0.5;0.09921256574801249;0.3;4851;2;0.9442934782608695;8.317570114135743
57;log_loss;11;0.5;0.004556754060844206;1.0;1;32;0.6040760869565218;0.06200013160705566
58;exponential;5;0.9;0.21431099571326834;0.7000000000000001;4951;16;0.9521739130434783;30.747619676589967
59;log_loss;15;0.9;0.002109491677524035;0.8;2101;2;0.9459239130434783;181.04830923080445
60;exponential;3;0.6;0.21431099571326834;0.7500000000000001;3851;4;0.9467391304347826;36.2557116985321
61;log_loss;5;0.30000000000000004;0.0098431332023037;0.35000000000000003;3651;8;0.951358695652174;18.332681226730347
62;exponential;13;0.8;0.021262343752724643;0.35000000000000003;3351;2;0.9584239130434783;69.2447992324829
63;log_loss;11;0.2;0.46293735614364534;0.3;2951;2;0.5307065217391305;23.422948122024536
64;log_loss;5;0.9;0.0009765625;0.4;301;8;0.8804347826086956;3.821910858154297
65;log_loss;13;1.0;1.0;0.15000000000000002;2701;32;0.8809782608695652;15.07905650138855
66;log_loss;1;0.1;0.004556754060844206;0.8500000000000001;4101;64;0.9350543478260869;5.567145252227784
67;log_loss;3;0.30000000000000004;0.0009765625;0.6500000000000001;3851;4;0.9331521739130435;20.67934617996216
68;exponential;5;0.9;1.0;0.7000000000000001;2301;16;0.951086956521739;8.143293142318726
69;exponential;5;0.9;0.0098431332023037;0.7000000000000001;2051;16;0.9524456521739131;38.163979864120485
70;exponential;13;0.5;0.0098431332023037;0.1;1051;128;0.9529891304347826;4.819461965560913
71;exponential;11;0.4;0.021262343752724643;0.8500000000000001;601;4;0.9540760869565217;17.71274619102478
