Iteracja;estimator__max_depth;estimator__max_features;estimator__max_samples;estimator__min_samples_split;estimator__n_estimators;Srednia dokladnosc;Czas
1;6;sqrt;0.5363636363636364;0.41515151515151516;1275;0.6951086956521738;4.548710107803345
2;10;log2;0.9545454545454545;0.4313131313131313;74;0.8714673913043478;0.469122314453125
3;11;sqrt;0.32727272727272727;0.24141414141414141;824;0.8445652173913043;3.525996541976929
4;12;sqrt;0.16363636363636364;0.4757575757575757;109;0.6103260869565217;1.3011838912963867
5;12;log2;0.2727272727272727;0.2090909090909091;835;0.83125;3.5928064823150634
6;5;log2;0.6818181818181818;0.23737373737373738;214;0.9092391304347827;1.6367824077606201
7;11;sqrt;0.9090909090909091;0.302020202020202;1982;0.9086956521739131;13.690431070327758
8;19;log2;0.38181818181818183;0.12828282828282828;781;0.919836956521739;5.100678539276123
9;14;sqrt;0.5909090909090909;0.4353535353535354;1519;0.836413043478261;8.42257375717163
10;16;log2;0.40909090909090906;0.3464646464646465;1915;0.6103260869565217;8.03543791770935
11;15;sqrt;0.8909090909090909;0.20505050505050504;1769;0.9206521739130433;15.844507122039795
12;6;sqrt;0.2909090909090909;0.22121212121212122;1706;0.8413043478260869;8.42059030532837
13;16;sqrt;0.5181818181818182;0.12828282828282828;1014;0.9222826086956522;9.298832416534424
14;7;sqrt;0.26363636363636367;0.30606060606060603;228;0.6103260869565217;1.9588297367095948
15;3;sqrt;0.8818181818181817;0.41515151515151516;723;0.8875;4.363588762283325
16;15;sqrt;0.709090909090909;0.12424242424242425;1677;0.9255434782608696;15.56444034576416
17;5;sqrt;0.9727272727272727;0.29393939393939394;1303;0.9114130434782609;9.768830633163452
18;7;log2;0.4181818181818182;0.39494949494949494;221;0.6103260869565217;1.91714186668396
19;4;sqrt;0.28181818181818186;0.4313131313131313;826;0.6103260869565217;4.318951797485352
20;8;sqrt;0.6545454545454545;0.491919191919192;1374;0.6103260869565217;5.455980539321899
21;16;sqrt;0.709090909090909;0.42727272727272725;799;0.8483695652173913;4.6720623016357425
22;19;log2;0.7545454545454545;0.4191919191919192;1077;0.8559782608695652;5.35819935798645
23;10;sqrt;0.5454545454545454;0.28181818181818186;443;0.8921195652173914;2.7005048751831056
24;8;log2;0.33636363636363636;0.20101010101010103;175;0.8760869565217391;1.7797888278961183
25;10;sqrt;0.7999999999999999;0.40303030303030307;1432;0.8836956521739131;8.98438835144043
26;10;sqrt;0.7545454545454545;0.10808080808080808;684;0.9298913043478262;8.315877056121826
27;16;log2;0.8545454545454545;0.3222222222222222;1720;0.898913043478261;11.982606363296508
28;3;sqrt;0.40909090909090906;0.26161616161616164;804;0.8690217391304348;4.779665327072143
29;13;log2;0.4636363636363636;0.29393939393939394;1585;0.8589673913043478;7.874304008483887
30;9;log2;0.7818181818181817;0.15252525252525254;1037;0.925;8.03544750213623
31;4;sqrt;0.13636363636363635;0.4878787878787879;847;0.6103260869565217;3.304688501358032
32;16;sqrt;0.23636363636363636;0.30606060606060603;1551;0.6103260869565217;6.071069240570068
33;13;log2;0.8090909090909091;0.31414141414141417;93;0.8945652173913043;1.3568768978118897
34;13;log2;0.8272727272727273;0.15656565656565657;831;0.9244565217391305;7.738294792175293
35;6;sqrt;0.609090909090909;0.1808080808080808;45;0.9133152173913043;1.0861114978790283
36;6;sqrt;0.9454545454545454;0.43939393939393945;1402;0.888586956521739;8.618051290512085
37;3;sqrt;0.4545454545454546;0.491919191919192;107;0.6103260869565217;0.47091045379638674
38;4;sqrt;0.6;0.4757575757575757;1405;0.6103260869565217;5.566923332214356
39;13;log2;0.47272727272727266;0.17676767676767677;902;0.910054347826087;5.357123565673828
40;16;sqrt;0.15454545454545454;0.21313131313131314;821;0.6103260869565217;3.1779828548431395
41;9;log2;0.6636363636363636;0.19696969696969696;546;0.9182065217391303;3.9357403755187987
42;16;sqrt;0.8272727272727273;0.10808080808080808;1676;0.9282608695652174;20.085554075241088
43;5;sqrt;0.1181818181818182;0.49595959595959593;1092;0.6103260869565217;4.409479188919067
44;1;log2;0.8727272727272727;0.14444444444444446;320;0.8241847826086957;1.795847225189209
45;3;sqrt;0.7272727272727272;0.2696969696969697;798;0.9040760869565216;5.329883623123169
46;12;sqrt;0.7818181818181817;0.29393939393939394;1255;0.9027173913043478;8.438859272003175
47;18;log2;0.4363636363636364;0.4434343434343434;1438;0.6103260869565217;5.244620418548584
48;2;log2;0.2090909090909091;0.39494949494949494;1149;0.6103260869565217;4.253899002075196
49;3;log2;0.28181818181818186;0.37070707070707076;959;0.6103260869565217;3.534027433395386
50;8;sqrt;0.7363636363636363;0.23737373737373738;605;0.9138586956521738;4.58590087890625
51;15;log2;0.14545454545454545;0.19696969696969696;157;0.6103260869565217;0.6466200828552247
52;3;sqrt;0.1272727272727273;0.38282828282828285;1939;0.6103260869565217;7.32669587135315
53;8;log2;0.9363636363636363;0.4878787878787879;485;0.8546195652173914;2.610900640487671
54;13;log2;0.34545454545454546;0.28585858585858587;1376;0.8184782608695651;6.241102409362793
55;17;sqrt;0.23636363636363636;0.4434343434343434;231;0.6103260869565217;1.0134933471679688
56;13;sqrt;0.17272727272727273;0.2777777777777778;307;0.6103260869565217;1.2447049140930175
57;13;log2;0.2090909090909091;0.25757575757575757;940;0.6103260869565217;3.6760159015655516
58;15;log2;0.3909090909090909;0.3181818181818182;952;0.817391304347826;4.474979114532471
59;17;sqrt;0.8090909090909091;0.3666666666666667;1311;0.8951086956521739;8.101566648483276
60;12;log2;0.5727272727272728;0.43939393939393945;143;0.6111413043478261;0.6645448684692383
61;13;sqrt;0.36363636363636365;0.19292929292929295;795;0.8980978260869567;4.318665504455566
62;17;sqrt;0.7636363636363636;0.21717171717171718;1491;0.9171195652173912;12.037946939468384
63;11;log2;0.4;0.13636363636363635;1173;0.9154891304347826;6.737485027313232
64;7;sqrt;0.9454545454545454;0.491919191919192;1807;0.8641304347826088;10.60282073020935
65;18;log2;0.8545454545454545;0.12828282828282828;1879;0.9274456521739131;19.861137628555298
66;17;sqrt;0.9181818181818181;0.22121212121212122;461;0.9198369565217392;4.824093294143677
67;19;sqrt;0.7;0.20101010101010103;713;0.9171195652173912;7.027977132797242
68;19;sqrt;0.7545454545454545;0.13636363636363635;293;0.9236413043478262;3.616822910308838
69;12;log2;0.3090909090909091;0.3868686868686869;406;0.6103260869565217;1.8797130107879638
70;14;log2;0.7363636363636363;0.1202020202020202;1241;0.9285326086956524;13.660561847686768
71;1;sqrt;0.22727272727272727;0.398989898989899;419;0.6103260869565217;1.8895641803741454
72;8;sqrt;0.14545454545454545;0.407070707070707;1199;0.6103260869565217;5.690153646469116
73;12;log2;0.24545454545454545;0.4232323232323232;868;0.6103260869565217;4.47558364868164
74;13;sqrt;0.49090909090909085;0.15656565656565657;368;0.9179347826086957;3.6311709880828857
75;9;sqrt;0.2090909090909091;0.2737373737373737;632;0.6103260869565217;3.231540489196777
76;8;log2;0.17272727272727273;0.18484848484848487;1679;0.6103260869565217;8.001432323455811
77;5;sqrt;0.32727272727272727;0.3383838383838384;506;0.6103260869565217;2.750804376602173
78;15;sqrt;0.8636363636363635;0.48383838383838385;1163;0.8524456521739131;8.055852699279786
79;11;log2;0.9363636363636363;0.297979797979798;358;0.9065217391304348;2.964883232116699
80;17;sqrt;0.8454545454545453;0.41515151515151516;1702;0.8855978260869565;12.451492738723754
81;15;log2;0.1090909090909091;0.42727272727272725;1642;0.6103260869565217;7.646086406707764
82;18;sqrt;0.6909090909090908;0.4313131313131313;1658;0.84375;10.537036848068237
83;17;sqrt;0.9090909090909091;0.35050505050505054;199;0.8972826086956521;1.7363511562347411
84;9;log2;0.6272727272727272;0.3424242424242424;361;0.8706521739130434;2.247689199447632
85;1;sqrt;0.7363636363636363;0.3909090909090909;393;0.8345108695652174;2.584123229980469
86;18;log2;0.38181818181818183;0.3222222222222222;866;0.6103260869565217;4.302822113037109
87;14;sqrt;0.5818181818181818;0.3747474747474747;1235;0.847554347826087;7.700554704666137
88;18;sqrt;0.23636363636363636;0.3222222222222222;731;0.6103260869565217;3.4076376438140867
89;10;sqrt;0.9181818181818181;0.45959595959595956;929;0.8668478260869564;6.749369192123413
90;12;log2;0.7454545454545454;0.2898989898989899;761;0.9010869565217391;5.653363609313965
91;19;log2;0.5909090909090909;0.36262626262626263;975;0.8521739130434783;5.905371189117432
92;17;log2;0.6272727272727272;0.4353535353535354;369;0.8274456521739129;2.286431407928467
93;8;sqrt;0.49090909090909085;0.44747474747474747;1683;0.6103260869565217;7.7189465999603275
94;15;log2;0.7181818181818181;0.4797979797979798;144;0.8220108695652174;0.9023982524871826
95;4;sqrt;0.18181818181818182;0.10404040404040404;1819;0.8994565217391305;10.973980569839478
96;13;log2;0.5545454545454546;0.45151515151515154;1792;0.6103260869565217;8.427588033676148
97;18;sqrt;0.9272727272727272;0.49595959595959593;782;0.8616847826086955;5.615252447128296
98;8;log2;0.32727272727272727;0.23333333333333334;139;0.84375;0.8766671180725097
99;2;sqrt;0.9272727272727272;0.3383838383838384;918;0.8910326086956522;7.195348262786865
100;11;sqrt;0.8818181818181817;0.2090909090909091;1412;0.9214673913043478;17.38717360496521
101;14;sqrt;0.4545454545454546;0.2656565656565657;1895;0.8847826086956522;13.915784931182861
102;10;sqrt;0.9090909090909091;0.3181818181818182;1453;0.9070652173913045;14.209631299972534
103;19;log2;0.38181818181818183;0.1686868686868687;1554;0.9032608695652176;11.229571008682251
104;11;sqrt;0.6818181818181818;0.3909090909090909;1963;0.8657608695652174;14.445377683639526
105;14;log2;0.5909090909090909;0.22525252525252526;187;0.9097826086956522;1.4759801387786866
106;2;sqrt;0.15454545454545454;0.41515151515151516;1041;0.6103260869565217;5.784211301803589
107;6;log2;0.9818181818181817;0.12424242424242425;491;0.9236413043478262;5.8295183181762695
108;12;sqrt;0.5727272727272728;0.3666666666666667;1338;0.8513586956521738;9.329606819152833
109;3;sqrt;0.36363636363636365;0.2777777777777778;1344;0.838858695652174;8.393560886383057
110;5;sqrt;0.47272727272727266;0.491919191919192;470;0.6103260869565217;3.1882036209106444
111;4;log2;0.13636363636363635;0.45151515151515154;1306;0.6103260869565217;6.2101672172546385
112;13;log2;0.8454545454545453;0.297979797979798;564;0.9029891304347825;5.110079002380371
113;12;log2;0.5636363636363636;0.2898989898989899;1563;0.8839673913043479;11.208181858062744
