,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,spam_brier,spam_roc_auc,spam_accuracy,mt_brier,mt_roc_auc,mt_accuracy,kc1_brier,kc1_roc_auc,kc1_accuracy,phoneme_brier,phoneme_roc_auc,phoneme_accuracy
0,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 33, 'min_samples_split': 48}",0.11088258307627359,0.870823245841823,0.8472960300411128,0.09068153157440081,0.9333279744719848,0.8806830949346175,0.11778224846984058,0.885194597051236,0.8412197686645635,0.11625877432653364,0.7698009497662506,0.8364140896759015,0.11880777793431933,0.8949694620778208,0.8308671668893686
1,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 44, 'min_samples_split': 48}",0.11173895121594014,0.8702996673476494,0.845547127724358,0.09256581904694061,0.9325806981080611,0.8767674550346977,0.11806582357160197,0.8851830340653113,0.8400630914826499,0.11499503271153318,0.7721162110636665,0.8411545519019261,0.1213291295336848,0.8913187261535587,0.8242034124781581
2,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 48}",0.11057774774750977,0.8684309173380297,0.8496827487148145,0.09178703289003162,0.9274375384174615,0.8774198649860738,0.11808186812923152,0.882165684741044,0.8422712933753942,0.12019851351401215,0.7628823203674493,0.8326282491472572,0.11224357645676382,0.9012381258261639,0.8464115873505328
3,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 26, 'min_samples_split': 48}",0.10969631226976699,0.8724388697134626,0.847480713242527,0.09030351065628568,0.9324258228174254,0.8800302129065761,0.11740110746575005,0.8848668325132799,0.8422187171398529,0.11612103720591231,0.7733514436653894,0.8297745156533193,0.11495959375111993,0.8991113798577555,0.83789940727036
4,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 48}",0.11066047307334338,0.8687676262751608,0.849698937428968,0.09169809914333484,0.9287988566339533,0.8778546475947694,0.11808186812923152,0.882165684741044,0.8422712933753942,0.12061904222131167,0.762991631083171,0.8326282491472572,0.11224288279949553,0.9011143326424748,0.8460415595984513
5,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 12, 'min_samples_split': 48}",0.11027709279792537,0.8701340412516507,0.8498682732443097,0.0902167254419577,0.9314433894625329,0.8813319643110041,0.11784877542554946,0.8834424972554225,0.8416929547844374,0.11987221331434447,0.763611903628427,0.8326271234141235,0.11317065700984985,0.9020383746602203,0.843821050467674
6,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 20, 'min_samples_split': 48}",0.10953944340677746,0.8720398822478068,0.8512093831539058,0.09027764937004448,0.9324270171264903,0.8808985979323042,0.11691549484783828,0.8853845233597563,0.8423238696109359,0.1180414062735218,0.7675948379666158,0.8359435332260133,0.11292322313570527,0.9027531505383646,0.8456715318463699
7,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 34, 'min_samples_split': 48}",0.11073668319103896,0.8701274832752552,0.847238497495637,0.09054018193712748,0.9334694328157893,0.8789439644998348,0.11796076118324625,0.8850760834713348,0.8405888538380651,0.1161077456931185,0.7661601622655818,0.8368880233251905,0.11833804395066358,0.8958042545483149,0.8325331483194572
8,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 49, 'min_samples_split': 48}",0.11228507693458847,0.8706148946803802,0.8433015465238077,0.09433110334161669,0.9290362059954511,0.8776367842137563,0.1181552329108146,0.8851164440076431,0.840378548895899,0.1141761552791926,0.7794287167998338,0.8378336391575013,0.12247781620673,0.8888782119185927,0.8173572138280741
9,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 33, 'min_samples_split': 48}",0.11088258307627359,0.870823245841823,0.8472960300411128,0.09068153157440081,0.9333279744719848,0.8806830949346175,0.11778224846984058,0.885194597051236,0.8412197686645635,0.11625877432653364,0.7698009497662506,0.8364140896759015,0.11880777793431933,0.8949694620778208,0.8308671668893686
