,iter,dataset,hyperparameters,roc_auc
0,0,spam,{'model__n_neighbors': 10},0.9487445893645103
1,1,spam,{'model__n_neighbors': 26},0.9501050460919818
2,2,spam,{'model__n_neighbors': 12},0.9505494352237726
3,3,spam,{'model__n_neighbors': 15},0.9520631987507946
4,4,spam,{'model__n_neighbors': 11},0.9495279576524898
5,5,spam,{'model__n_neighbors': 15},0.9520631987507946
6,6,spam,{'model__n_neighbors': 3},0.9247617922366009
7,7,spam,{'model__n_neighbors': 18},0.9526904049831236
8,8,spam,{'model__n_neighbors': 27},0.9497143037453476
9,9,spam,{'model__n_neighbors': 27},0.9497143037453476
10,10,spam,{'model__n_neighbors': 30},0.9489104504216908
11,11,spam,{'model__n_neighbors': 22},0.9510242054256904
12,12,spam,{'model__n_neighbors': 19},0.9517142041403887
13,13,spam,{'model__n_neighbors': 17},0.9523642496457201
14,14,spam,{'model__n_neighbors': 7},0.9445425707677642
15,15,spam,{'model__n_neighbors': 14},0.9516833757067445
16,16,spam,{'model__n_neighbors': 1},0.8791106471469698
17,17,spam,{'model__n_neighbors': 24},0.9509973547054766
18,18,spam,{'model__n_neighbors': 18},0.9526904049831236
19,19,spam,{'model__n_neighbors': 18},0.9526904049831236
20,20,spam,{'model__n_neighbors': 18},0.9526904049831236
21,21,spam,{'model__n_neighbors': 5},0.9398119742545333
22,22,spam,{'model__n_neighbors': 29},0.9491898418592817
23,23,spam,{'model__n_neighbors': 18},0.9526904049831236
24,24,spam,{'model__n_neighbors': 21},0.9510935798560739
25,25,spam,{'model__n_neighbors': 8},0.9460779185208187
26,26,spam,{'model__n_neighbors': 7},0.9445425707677642
27,27,spam,{'model__n_neighbors': 15},0.9520631987507946
28,28,spam,{'model__n_neighbors': 5},0.9398119742545333
29,29,spam,{'model__n_neighbors': 8},0.9460779185208187
30,0,mt,{'model__n_neighbors': 19},0.9005697274463424
31,1,mt,{'model__n_neighbors': 25},0.9012412921404829
32,2,mt,{'model__n_neighbors': 24},0.9010578238421962
33,3,mt,{'model__n_neighbors': 7},0.8860937877386034
34,4,mt,{'model__n_neighbors': 12},0.8948551441422378
35,5,mt,{'model__n_neighbors': 10},0.8926979311324944
36,6,mt,{'model__n_neighbors': 22},0.9007257686925259
37,7,mt,{'model__n_neighbors': 17},0.8993912421460785
38,8,mt,{'model__n_neighbors': 23},0.9008771836862906
39,9,mt,{'model__n_neighbors': 6},0.8830047954231379
40,10,mt,{'model__n_neighbors': 30},0.9015142174419619
41,11,mt,{'model__n_neighbors': 1},0.7859176933248111
42,12,mt,{'model__n_neighbors': 28},0.901259322468268
43,13,mt,{'model__n_neighbors': 27},0.9012832805762955
44,14,mt,{'model__n_neighbors': 15},0.8986359361574081
45,15,mt,{'model__n_neighbors': 20},0.9003693917203639
46,16,mt,{'model__n_neighbors': 4},0.8702184374091658
47,17,mt,{'model__n_neighbors': 14},0.8976856631074674
48,18,mt,{'model__n_neighbors': 29},0.9012645545314164
49,19,mt,{'model__n_neighbors': 9},0.8911491039307948
50,20,mt,{'model__n_neighbors': 20},0.9003693917203639
51,21,mt,{'model__n_neighbors': 14},0.8976856631074674
52,22,mt,{'model__n_neighbors': 26},0.9012725500506102
53,23,mt,{'model__n_neighbors': 30},0.9015142174419619
54,24,mt,{'model__n_neighbors': 30},0.9015142174419619
55,25,mt,{'model__n_neighbors': 3},0.8588574301009709
56,26,mt,{'model__n_neighbors': 30},0.9015142174419619
57,27,mt,{'model__n_neighbors': 18},0.9001314985205925
58,28,mt,{'model__n_neighbors': 21},0.90086697145739
59,29,mt,{'model__n_neighbors': 16},0.8992943117548469
60,0,kc1,{'model__n_neighbors': 27},0.7915063040872756
61,1,kc1,{'model__n_neighbors': 3},0.7181301020167415
62,2,kc1,{'model__n_neighbors': 13},0.7939383086549078
63,3,kc1,{'model__n_neighbors': 4},0.727673669110916
64,4,kc1,{'model__n_neighbors': 4},0.727673669110916
65,5,kc1,{'model__n_neighbors': 5},0.7418408784198258
66,6,kc1,{'model__n_neighbors': 10},0.7848531091041213
67,7,kc1,{'model__n_neighbors': 25},0.7871225333371082
68,8,kc1,{'model__n_neighbors': 22},0.7875183082774175
69,9,kc1,{'model__n_neighbors': 10},0.7848531091041213
70,10,kc1,{'model__n_neighbors': 17},0.789425082340062
71,11,kc1,{'model__n_neighbors': 30},0.7947024904919642
72,12,kc1,{'model__n_neighbors': 30},0.7947024904919642
73,13,kc1,{'model__n_neighbors': 15},0.7915233147419383
74,14,kc1,{'model__n_neighbors': 29},0.793826170455725
75,15,kc1,{'model__n_neighbors': 20},0.7868593046629485
76,16,kc1,{'model__n_neighbors': 8},0.7703973792738976
77,17,kc1,{'model__n_neighbors': 13},0.7939383086549078
78,18,kc1,{'model__n_neighbors': 12},0.7923229334767796
79,19,kc1,{'model__n_neighbors': 18},0.7891653690439117
80,20,kc1,{'model__n_neighbors': 30},0.7947024904919642
81,21,kc1,{'model__n_neighbors': 23},0.7882577409095628
82,22,kc1,{'model__n_neighbors': 30},0.7947024904919642
83,23,kc1,{'model__n_neighbors': 1},0.6479885903570114
84,24,kc1,{'model__n_neighbors': 28},0.7929244406066268
85,25,kc1,{'model__n_neighbors': 14},0.791555826090239
86,26,kc1,{'model__n_neighbors': 11},0.7890051480233666
87,27,kc1,{'model__n_neighbors': 30},0.7947024904919642
88,28,kc1,{'model__n_neighbors': 16},0.7900238998518351
89,29,kc1,{'model__n_neighbors': 30},0.7947024904919642
90,0,phoneme,{'model__n_neighbors': 28},0.9112695571408438
91,1,phoneme,{'model__n_neighbors': 13},0.9196725393963314
92,2,phoneme,{'model__n_neighbors': 23},0.9141791726324373
93,3,phoneme,{'model__n_neighbors': 5},0.9192007533321689
94,4,phoneme,{'model__n_neighbors': 9},0.9222428154097211
95,5,phoneme,{'model__n_neighbors': 24},0.913825465748706
96,6,phoneme,{'model__n_neighbors': 6},0.9208296004809229
97,7,phoneme,{'model__n_neighbors': 18},0.9191231337141195
98,8,phoneme,{'model__n_neighbors': 30},0.9100733024449813
99,9,phoneme,{'model__n_neighbors': 21},0.9167901526819324
100,10,phoneme,{'model__n_neighbors': 8},0.9215223203573284
101,11,phoneme,{'model__n_neighbors': 1},0.8676220175511645
102,12,phoneme,{'model__n_neighbors': 15},0.9205856933879302
103,13,phoneme,{'model__n_neighbors': 11},0.922099090820959
104,14,phoneme,{'model__n_neighbors': 26},0.9127296916048298
105,15,phoneme,{'model__n_neighbors': 17},0.9198538409596546
106,16,phoneme,{'model__n_neighbors': 3},0.9088916637915103
107,17,phoneme,{'model__n_neighbors': 20},0.9177192442087199
108,18,phoneme,{'model__n_neighbors': 10},0.9226470598259973
109,19,phoneme,{'model__n_neighbors': 10},0.9226470598259973
110,20,phoneme,{'model__n_neighbors': 14},0.9211854499904095
111,21,phoneme,{'model__n_neighbors': 29},0.9107027799222787
112,22,phoneme,{'model__n_neighbors': 10},0.9226470598259973
113,23,phoneme,{'model__n_neighbors': 7},0.9219405787553872
114,24,phoneme,{'model__n_neighbors': 10},0.9226470598259973
115,25,phoneme,{'model__n_neighbors': 10},0.9226470598259973
116,26,phoneme,{'model__n_neighbors': 10},0.9226470598259973
117,27,phoneme,{'model__n_neighbors': 16},0.9205732714492573
118,28,phoneme,{'model__n_neighbors': 4},0.9138913714023124
119,29,phoneme,{'model__n_neighbors': 12},0.9202432722781987
