,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,spam_brier,spam_roc_auc,spam_accuracy,mt_brier,mt_roc_auc,mt_accuracy,kc1_brier,kc1_roc_auc,kc1_accuracy,phoneme_brier,phoneme_roc_auc,phoneme_accuracy
0,"{'random_state': 42, 'n_estimators': 1912, 'max_depth': 8, 'min_samples_leaf': 60, 'min_samples_split': 21}",0.10778091112997301,0.8926095090812574,0.8595625563464342,0.09548895132456685,0.9466883918477667,0.8926334796770995,0.11039103117241503,0.9128705978770821,0.8524185068349107,0.11001389891274933,0.8012571202756267,0.8482669338406638,0.11522976311016084,0.9096219263245537,0.8449313050330627
1,"{'random_state': 42, 'n_estimators': 552, 'max_depth': 6, 'min_samples_leaf': 12, 'min_samples_split': 28}",0.10438331601437327,0.8963185802215108,0.8614969012001799,0.08515013584674806,0.952011572299402,0.8976327715621016,0.11730547833214874,0.9047985692245852,0.845478443743428,0.10859850159529108,0.8057550650495132,0.8468428814265291,0.10647914828330525,0.9227091143125425,0.8560335080686606
2,"{'random_state': 42, 'n_estimators': 110, 'max_depth': 1, 'min_samples_leaf': 33, 'min_samples_split': 9}",0.15466127297715085,0.8414125440584446,0.7866545497818023,0.16030053770415603,0.9224329060152661,0.8196048718311854,0.18469083789085938,0.8216459541075901,0.7288117770767613,0.11363956408080722,0.7818193527116197,0.8454244576780627,0.16001415223278073,0.8397519633993022,0.7527770925411998
3,"{'random_state': 42, 'n_estimators': 1958, 'max_depth': 6, 'min_samples_leaf': 60, 'min_samples_split': 4}",0.11071663792522367,0.8886050887761705,0.8546208177729571,0.0958370643980134,0.9460995598237252,0.8911119765849975,0.11907797302391117,0.902297021797828,0.843796004206099,0.11000795792657043,0.8012400135665173,0.8482669338406638,0.11794355635239968,0.9047837599166115,0.8353083564600678
4,"{'random_state': 42, 'n_estimators': 1777, 'max_depth': 13, 'min_samples_leaf': 36, 'min_samples_split': 8}",0.10187369597827664,0.8999603847425048,0.866838259990899,0.0895208443650797,0.9506391617437655,0.8967636784213757,0.1022867169959254,0.9229268635078464,0.8624605678233438,0.1095060007135324,0.8032839918398412,0.8496887347885311,0.10618122183856901,0.9229915218785661,0.8584400589303456
5,"{'random_state': 42, 'n_estimators': 54, 'max_depth': 11, 'min_samples_leaf': 21, 'min_samples_split': 54}",0.09923498523471537,0.9017616258201302,0.8685102214663118,0.0863253100443419,0.9528631904649265,0.8952421753292734,0.10092799773755008,0.9236947247460128,0.8651419558359621,0.10929959209424092,0.8011415297634731,0.8487408674899528,0.10038704106272862,0.9293470583061085,0.8649158872100593
6,"{'random_state': 42, 'n_estimators': 1087, 'max_depth': 3, 'min_samples_leaf': 28, 'min_samples_split': 49}",0.12458006759788437,0.8732842984486056,0.8327079431889057,0.10791609967957368,0.9402016242050122,0.8817648586130389,0.14622499794817376,0.8767517446091471,0.8026288117770768,0.1097751568056858,0.8027799150618055,0.8468451328927966,0.13440401595810428,0.8734039099184576,0.7995929694727104
7,"{'random_state': 42, 'n_estimators': 375, 'max_depth': 5, 'min_samples_leaf': 49, 'min_samples_split': 31}",0.11281331639934267,0.8855275779868563,0.8522044210800324,0.09524255493006596,0.9458503648281702,0.8902426474059387,0.12606589970206494,0.893622413795398,0.8379600420609885,0.1098029837878604,0.8021473745465816,0.8482680595737973,0.12014182717737934,0.9004901587772757,0.8323469352794053
8,"{'random_state': 42, 'n_estimators': 429, 'max_depth': 15, 'min_samples_leaf': 8, 'min_samples_split': 11}",0.09089388056585503,0.9116300255537332,0.8797442349877372,0.07559934783166243,0.9605410504194397,0.907847330406458,0.0942702186883003,0.9316620236641443,0.8734490010515247,0.10759924532042238,0.8074193431595944,0.8511127872026657,0.08610671042303501,0.9468976849717542,0.8865678212903004
9,"{'random_state': 42, 'n_estimators': 330, 'max_depth': 7, 'min_samples_leaf': 25, 'min_samples_split': 22}",0.10332833036840182,0.8973364339805971,0.8637281280885161,0.0869128569930732,0.9515482162768649,0.8985028088561581,0.11165511840726501,0.9112826303420251,0.8515772870662459,0.10925955815457197,0.8025099239821646,0.8473179408089517,0.10548578791869707,0.9240049653213338,0.8575144756227087
