,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,spam_brier,spam_roc_auc,spam_accuracy,mt_brier,mt_roc_auc,mt_accuracy,kc1_brier,kc1_roc_auc,kc1_accuracy,phoneme_brier,phoneme_roc_auc,phoneme_accuracy
0,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 15}",0.08706410041829848,0.9169560015984319,0.8854569087482831,0.06914493072302105,0.9654464540081215,0.9115434546570362,0.09245087890957478,0.9335038724578926,0.8767087276550999,0.10615334449852623,0.8166789054743451,0.8577557384246491,0.08050724754207185,0.9521947744533685,0.8958197142563471
1,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.09528776664423712,0.9083364294677363,0.8756495651523845,0.08052219482214715,0.957562628329461,0.9052409951376102,0.09654787043231375,0.9292960211710476,0.8723449001051524,0.10741995357992706,0.811678406414031,0.8515844693856873,0.0966610477425605,0.9348086619564058,0.8734278959810876
2,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.08529893165132449,0.9185357708647903,0.8881238740876771,0.06643544041557972,0.96711252146819,0.9163241750460275,0.09195551869247745,0.9340992941895845,0.8774973711882229,0.10645154265012506,0.8165807264997615,0.8582285463408045,0.07635322484711574,0.9563505413016256,0.9004454037756535
3,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 14}",0.08680014955339146,0.9172865546494819,0.8856054699223853,0.06884024948262583,0.9656046690876348,0.9139340508898645,0.0924565083482467,0.9335549126939767,0.8763932702418507,0.1060970398839249,0.8170059467960987,0.8577546126915154,0.07980680049876845,0.9529806900202173,0.8943399458663105
4,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 38}",0.09213167147425282,0.9115350192395237,0.8785548434160749,0.0763250469297256,0.9603819087934763,0.9061096162016712,0.09474353823403864,0.9312010449327254,0.8733438485804417,0.10700642513768148,0.8124225537626067,0.8530096475329559,0.09045167559556556,0.9421345694692864,0.8817562613492308
5,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 57}",0.09486255932277254,0.9090022493947509,0.875727178911679,0.08005066372987626,0.9579404611162708,0.9050228957182647,0.09628974980048091,0.9296120690065017,0.8719242902208201,0.10720481826994699,0.8126422101802142,0.8525334624173994,0.095905005490786,0.9358142572760173,0.8734280672902319
6,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 48}",0.09370273469550297,0.9099242971112478,0.8771111537935641,0.07844388462823712,0.9589491364292144,0.905457914365293,0.09552506976731759,0.9304438642447967,0.8725026288117771,0.10720056097386714,0.8119027265970425,0.8520584030349767,0.09364142341259003,0.9384014611739374,0.8784256689622092
7,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 45}",0.09326655695013542,0.9104196256245911,0.8782547910641467,0.07783031385128945,0.9594506823214957,0.9058922248973232,0.09531245672272971,0.9306153759554322,0.8734490010515247,0.10717382893635308,0.8120872710677733,0.8539575148315339,0.09274962829016944,0.9395251731536634,0.8797204234762053
8,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 28}",0.09028091954814535,0.9135166748342015,0.8813607505900016,0.07380203594157028,0.9621928565741376,0.9082821130151537,0.09379469894838213,0.9321165774647204,0.8748159831756046,0.10671669487275588,0.8136985502930646,0.8563328117436481,0.08681024842987309,0.9460587150048836,0.8860120944256005
9,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.08299063794033903,0.9208298534605243,0.890525329058746,0.06205423021747976,0.969375433834065,0.9228444979464664,0.09136335812300656,0.9348738632721568,0.8772870662460568,0.10779634812370664,0.817928810009114,0.853013024732357,0.07074861529716323,0.9611413067267612,0.9089567273101039
