,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,dataset
0,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1665, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.06201995551965378,0.9693961601109361,0.9219751687674078,spam
1,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1479, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.062078889456665697,0.9693670359739128,0.9226271066421186,spam
2,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1850, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.06204036994324456,0.9693685257133433,0.9221927961100882,spam
3,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1639, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.062030826974393695,0.9694085331143579,0.9219751687674078,spam
4,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 309, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.061894156009828075,0.9693694636305041,0.92349667185951,spam
5,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1504, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.062072573091746054,0.9693981891095186,0.9228444979464664,spam
6,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1076, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.06204644611575867,0.9693818567187542,0.9226271066421186,spam
7,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1410, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.06208920947182339,0.9693773794351909,0.9224097153377707,spam
8,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1584, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.06202767590580085,0.9693803227843768,0.9221925600717557,spam
9,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1111, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.062049322884828985,0.9694070862599411,0.9224097153377707,spam
10,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 941, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.062061535881124744,0.9694417884162799,0.9224101874144359,spam
11,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1015, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.062061310886111165,0.9693893317712753,0.9230618892508142,spam
12,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 299, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.06192299286715528,0.9692958045392934,0.9230621252891471,spam
13,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 16, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.06687633025459416,0.9628026156351875,0.9165406221970447,spam
