All Configurations and Scores:
OrderedDict([('model__alpha', 82), ('model__gamma', 4), ('model__lambda', 187), ('model__learning_rate', 0.10158188211124412), ('model__max_depth', 8), ('model__n_estimators', 112), ('model__subsample', 0.675465667449572)]) - Score: 0.9207598371777476
OrderedDict([('model__alpha', 167), ('model__gamma', 4), ('model__lambda', 61), ('model__learning_rate', 0.28585493291206554), ('model__max_depth', 9), ('model__n_estimators', 59), ('model__subsample', 0.5691542691392876)]) - Score: 0.9197648123021258
OrderedDict([('model__alpha', 89), ('model__gamma', 5), ('model__lambda', 21), ('model__learning_rate', 0.1356665125423653), ('model__max_depth', 4), ('model__n_estimators', 118), ('model__subsample', 0.5777240270252717)]) - Score: 0.9213025780189958
OrderedDict([('model__alpha', 162), ('model__gamma', 1), ('model__lambda', 120), ('model__learning_rate', 0.24280178653533005), ('model__max_depth', 7), ('model__n_estimators', 64), ('model__subsample', 0.8779002664179407)]) - Score: 0.9222976028946178
OrderedDict([('model__alpha', 160), ('model__gamma', 2), ('model__lambda', 105), ('model__learning_rate', 0.21755684601103956), ('model__max_depth', 9), ('model__n_estimators', 158), ('model__subsample', 0.712089036230341)]) - Score: 0.9219357756671188
OrderedDict([('model__alpha', 147), ('model__gamma', 5), ('model__lambda', 33), ('model__learning_rate', 0.06464333461197475), ('model__max_depth', 9), ('model__n_estimators', 106), ('model__subsample', 0.7295122570754029)]) - Score: 0.9223880597014926
OrderedDict([('model__alpha', 123), ('model__gamma', 4), ('model__lambda', 72), ('model__learning_rate', 0.26355433564699277), ('model__max_depth', 7), ('model__n_estimators', 139), ('model__subsample', 0.8243887548518629)]) - Score: 0.9216644052464948
OrderedDict([('model__alpha', 109), ('model__gamma', 5), ('model__lambda', 99), ('model__learning_rate', 0.25292036674755275), ('model__max_depth', 5), ('model__n_estimators', 58), ('model__subsample', 0.785388901339449)]) - Score: 0.92157394843962
OrderedDict([('model__alpha', 191), ('model__gamma', 4), ('model__lambda', 174), ('model__learning_rate', 0.13058811539804152), ('model__max_depth', 6), ('model__n_estimators', 82), ('model__subsample', 0.5000305253763367)]) - Score: 0.915513342379014
OrderedDict([('model__alpha', 1), ('model__gamma', 4), ('model__lambda', 148), ('model__learning_rate', 0.08382073478057302), ('model__max_depth', 7), ('model__n_estimators', 91), ('model__subsample', 0.6564196531173141)]) - Score: 0.9317051108095885
OrderedDict([('model__alpha', 0), ('model__gamma', 0), ('model__lambda', 17), ('model__learning_rate', 0.2927358927572115), ('model__max_depth', 7), ('model__n_estimators', 181), ('model__subsample', 1.0)]) - Score: 0.9656264133876075
OrderedDict([('model__alpha', 48), ('model__gamma', 0), ('model__lambda', 3), ('model__learning_rate', 0.2569203249339325), ('model__max_depth', 8), ('model__n_estimators', 162), ('model__subsample', 0.7366804579970008)]) - Score: 0.9374943464495704
OrderedDict([('model__alpha', 0), ('model__gamma', 0), ('model__lambda', 200), ('model__learning_rate', 0.01), ('model__max_depth', 3), ('model__n_estimators', 200), ('model__subsample', 1.0)]) - Score: 0.9214834916327452
OrderedDict([('model__alpha', 3), ('model__gamma', 3), ('model__lambda', 162), ('model__learning_rate', 0.29479714400691354), ('model__max_depth', 5), ('model__n_estimators', 159), ('model__subsample', 0.5043433509040715)]) - Score: 0.9350520126639529
OrderedDict([('model__alpha', 0), ('model__gamma', 0), ('model__lambda', 0), ('model__learning_rate', 0.01), ('model__max_depth', 4), ('model__n_estimators', 59), ('model__subsample', 0.5)]) - Score: 0.919041157847128
OrderedDict([('model__alpha', 0), ('model__gamma', 5), ('model__lambda', 200), ('model__learning_rate', 0.3), ('model__max_depth', 10), ('model__n_estimators', 50), ('model__subsample', 1.0)]) - Score: 0.9370420624151967
OrderedDict([('model__alpha', 0), ('model__gamma', 0), ('model__lambda', 7), ('model__learning_rate', 0.21545442836143397), ('model__max_depth', 8), ('model__n_estimators', 54), ('model__subsample', 1.0)]) - Score: 0.9620081411126188
OrderedDict([('model__alpha', 0), ('model__gamma', 5), ('model__lambda', 0), ('model__learning_rate', 0.3), ('model__max_depth', 3), ('model__n_estimators', 50), ('model__subsample', 1.0)]) - Score: 0.9423790140208052
OrderedDict([('model__alpha', 0), ('model__gamma', 0), ('model__lambda', 0), ('model__learning_rate', 0.26947983953625054), ('model__max_depth', 3), ('model__n_estimators', 50), ('model__subsample', 1.0)]) - Score: 0.9472636815920398
OrderedDict([('model__alpha', 0), ('model__gamma', 0), ('model__lambda', 0), ('model__learning_rate', 0.3), ('model__max_depth', 10), ('model__n_estimators', 110), ('model__subsample', 1.0)]) - Score: 0.9675260063319765

