theta,score,theta,score,theta,score,theta,score
"OrderedDict([('max_depth', 42), ('max_features', 'sqrt'), ('min_samples_leaf', 0.9328671331118362), ('min_samples_split', 0.3157999618878617), ('n_estimators', 1341)])",0.69875,"OrderedDict([('max_depth', 42), ('max_features', 'sqrt'), ('min_samples_leaf', 0.9328671331118362), ('min_samples_split', 0.3157999618878617), ('n_estimators', 1341)])",0.7057603070738174,"OrderedDict([('max_depth', 42), ('max_features', 'sqrt'), ('min_samples_leaf', 0.9328671331118362), ('min_samples_split', 0.3157999618878617), ('n_estimators', 1341)])",0.6531200423056583,"OrderedDict([('max_depth', 42), ('max_features', 'sqrt'), ('min_samples_leaf', 0.9328671331118362), ('min_samples_split', 0.3157999618878617), ('n_estimators', 1341)])",0.8033681765389084
"OrderedDict([('max_depth', 84), ('max_features', 'sqrt'), ('min_samples_leaf', 0.3034105030639552), ('min_samples_split', 0.9512230041455162), ('n_estimators', 1728)])",0.69875,"OrderedDict([('max_depth', 84), ('max_features', 'sqrt'), ('min_samples_leaf', 0.3034105030639552), ('min_samples_split', 0.9512230041455162), ('n_estimators', 1728)])",0.7057603070738174,"OrderedDict([('max_depth', 84), ('max_features', 'sqrt'), ('min_samples_leaf', 0.3034105030639552), ('min_samples_split', 0.9512230041455162), ('n_estimators', 1728)])",0.6531200423056583,"OrderedDict([('max_depth', 84), ('max_features', 'sqrt'), ('min_samples_leaf', 0.3034105030639552), ('min_samples_split', 0.9512230041455162), ('n_estimators', 1728)])",0.8033681765389084
"OrderedDict([('max_depth', 45), ('max_features', 'sqrt'), ('min_samples_leaf', 0.10485994883438647), ('min_samples_split', 0.43333293520462135), ('n_estimators', 377)])",0.69875,"OrderedDict([('max_depth', 45), ('max_features', 'sqrt'), ('min_samples_leaf', 0.10485994883438647), ('min_samples_split', 0.43333293520462135), ('n_estimators', 377)])",0.7541051877512617,"OrderedDict([('max_depth', 45), ('max_features', 'sqrt'), ('min_samples_leaf', 0.10485994883438647), ('min_samples_split', 0.43333293520462135), ('n_estimators', 377)])",0.6955314648334215,"OrderedDict([('max_depth', 45), ('max_features', 'sqrt'), ('min_samples_leaf', 0.10485994883438647), ('min_samples_split', 0.43333293520462135), ('n_estimators', 377)])",0.8441927990708479
"OrderedDict([('max_depth', 81), ('max_features', 'auto'), ('min_samples_leaf', 0.598046881417973), ('min_samples_split', 0.8027641756267482), ('n_estimators', 1047)])",0.69875,"OrderedDict([('max_depth', 81), ('max_features', 'auto'), ('min_samples_leaf', 0.598046881417973), ('min_samples_split', 0.8027641756267482), ('n_estimators', 1047)])",0.7057603070738174,"OrderedDict([('max_depth', 81), ('max_features', 'auto'), ('min_samples_leaf', 0.598046881417973), ('min_samples_split', 0.8027641756267482), ('n_estimators', 1047)])",0.6531200423056583,"OrderedDict([('max_depth', 81), ('max_features', 'auto'), ('min_samples_leaf', 0.598046881417973), ('min_samples_split', 0.8027641756267482), ('n_estimators', 1047)])",0.8033681765389084
"OrderedDict([('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 0.5266201838872182), ('min_samples_split', 0.7157128306805088), ('n_estimators', 1808)])",0.69875,"OrderedDict([('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 0.5266201838872182), ('min_samples_split', 0.7157128306805088), ('n_estimators', 1808)])",0.7057603070738174,"OrderedDict([('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 0.5266201838872182), ('min_samples_split', 0.7157128306805088), ('n_estimators', 1808)])",0.6531200423056583,"OrderedDict([('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 0.5266201838872182), ('min_samples_split', 0.7157128306805088), ('n_estimators', 1808)])",0.8033681765389084
"OrderedDict([('max_depth', 74), ('max_features', 'sqrt'), ('min_samples_leaf', 0.16360785142419298), ('min_samples_split', 0.18842591491484662), ('n_estimators', 1601)])",0.69875,"OrderedDict([('max_depth', 74), ('max_features', 'sqrt'), ('min_samples_leaf', 0.16360785142419298), ('min_samples_split', 0.18842591491484662), ('n_estimators', 1601)])",0.7645116970319049,"OrderedDict([('max_depth', 74), ('max_features', 'sqrt'), ('min_samples_leaf', 0.16360785142419298), ('min_samples_split', 0.18842591491484662), ('n_estimators', 1601)])",0.7279481755684823,"OrderedDict([('max_depth', 74), ('max_features', 'sqrt'), ('min_samples_leaf', 0.16360785142419298), ('min_samples_split', 0.18842591491484662), ('n_estimators', 1601)])",0.8370499419279908
"OrderedDict([('max_depth', 62), ('max_features', 'sqrt'), ('min_samples_leaf', 0.35902321387554004), ('min_samples_split', 0.874324546683867), ('n_estimators', 1186)])",0.69875,"OrderedDict([('max_depth', 62), ('max_features', 'sqrt'), ('min_samples_leaf', 0.35902321387554004), ('min_samples_split', 0.874324546683867), ('n_estimators', 1186)])",0.7057603070738174,"OrderedDict([('max_depth', 62), ('max_features', 'sqrt'), ('min_samples_leaf', 0.35902321387554004), ('min_samples_split', 0.874324546683867), ('n_estimators', 1186)])",0.6531200423056583,"OrderedDict([('max_depth', 62), ('max_features', 'sqrt'), ('min_samples_leaf', 0.35902321387554004), ('min_samples_split', 0.874324546683867), ('n_estimators', 1186)])",0.8033681765389084
"OrderedDict([('max_depth', 55), ('max_features', 'sqrt'), ('min_samples_leaf', 0.4964667106633095), ('min_samples_split', 0.8376557617476525), ('n_estimators', 649)])",0.69875,"OrderedDict([('max_depth', 55), ('max_features', 'sqrt'), ('min_samples_leaf', 0.4964667106633095), ('min_samples_split', 0.8376557617476525), ('n_estimators', 649)])",0.7057603070738174,"OrderedDict([('max_depth', 55), ('max_features', 'sqrt'), ('min_samples_leaf', 0.4964667106633095), ('min_samples_split', 0.8376557617476525), ('n_estimators', 649)])",0.6531200423056583,"OrderedDict([('max_depth', 55), ('max_features', 'sqrt'), ('min_samples_leaf', 0.4964667106633095), ('min_samples_split', 0.8376557617476525), ('n_estimators', 649)])",0.8033681765389084
"OrderedDict([('max_depth', 96), ('max_features', 'sqrt'), ('min_samples_leaf', 0.8716511851593581), ('min_samples_split', 0.41582125593727837), ('n_estimators', 763)])",0.69875,"OrderedDict([('max_depth', 96), ('max_features', 'sqrt'), ('min_samples_leaf', 0.8716511851593581), ('min_samples_split', 0.41582125593727837), ('n_estimators', 763)])",0.7057603070738174,"OrderedDict([('max_depth', 96), ('max_features', 'sqrt'), ('min_samples_leaf', 0.8716511851593581), ('min_samples_split', 0.41582125593727837), ('n_estimators', 763)])",0.6531200423056583,"OrderedDict([('max_depth', 96), ('max_features', 'sqrt'), ('min_samples_leaf', 0.8716511851593581), ('min_samples_split', 0.41582125593727837), ('n_estimators', 763)])",0.8033681765389084
"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 0.7412822618025385), ('min_samples_split', 0.25455474875552914), ('n_estimators', 1158)])",0.69875,"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 0.7412822618025385), ('min_samples_split', 0.25455474875552914), ('n_estimators', 1158)])",0.7057603070738174,"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 0.7412822618025385), ('min_samples_split', 0.25455474875552914), ('n_estimators', 1158)])",0.6531200423056583,"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 0.7412822618025385), ('min_samples_split', 0.25455474875552914), ('n_estimators', 1158)])",0.8033681765389084
