,wektor parametrów,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
0,"{'model__n_estimators': 76, 'model__min_samples_leaf': 0.47000000000000003, 'model__max_samples': 0.32999999999999985, 'model__max_features': 0.5}",0.5,0.5,0.5,0.5
1,"{'model__n_estimators': 63, 'model__min_samples_leaf': 0.5, 'model__max_samples': 0.34999999999999987, 'model__max_features': 0.56}",0.5,0.5,0.5,0.5
2,"{'model__n_estimators': 28, 'model__min_samples_leaf': 0.53, 'model__max_samples': 0.7199999999999996, 'model__max_features': 0.81}",0.5,0.5,0.5,0.5
3,"{'model__n_estimators': 76, 'model__min_samples_leaf': 0.25, 'model__max_samples': 0.9299999999999996, 'model__max_features': 0.09}",0.7244560950452502,0.7708009700941056,0.478461954172505,0.8129516224698113
4,"{'model__n_estimators': 93, 'model__min_samples_leaf': 0.55, 'model__max_samples': 0.6099999999999998, 'model__max_features': 0.8200000000000001}",0.5,0.5,0.5,0.5
5,"{'model__n_estimators': 60, 'model__min_samples_leaf': 0.92, 'model__max_samples': 0.4999999999999998, 'model__max_features': 0.08}",0.5,0.5,0.5,0.5
6,"{'model__n_estimators': 62, 'model__min_samples_leaf': 0.38, 'model__max_samples': 0.6299999999999997, 'model__max_features': 0.66}",0.5,0.5,0.5,0.5
7,"{'model__n_estimators': 89, 'model__min_samples_leaf': 0.54, 'model__max_samples': 0.5999999999999998, 'model__max_features': 0.86}",0.5,0.5,0.5,0.5
8,"{'model__n_estimators': 14, 'model__min_samples_leaf': 0.19, 'model__max_samples': 0.6999999999999996, 'model__max_features': 0.88}",0.738127104082202,0.7311758846276316,0.4166685257363083,0.8027887136965417
9,"{'model__n_estimators': 100, 'model__min_samples_leaf': 0.9500000000000001, 'model__max_samples': 0.11, 'model__max_features': 0.38}",0.5,0.5,0.5,0.5
10,"{'model__n_estimators': 65, 'model__min_samples_leaf': 0.09, 'model__max_samples': 0.23999999999999994, 'model__max_features': 0.45}",0.7287921352531521,0.7454394977224663,0.41211768196495113,0.8187384992196917
11,"{'model__n_estimators': 22, 'model__min_samples_leaf': 0.63, 'model__max_samples': 0.8499999999999996, 'model__max_features': 0.1}",0.5,0.5,0.5,0.5
12,"{'model__n_estimators': 42, 'model__min_samples_leaf': 0.86, 'model__max_samples': 0.12, 'model__max_features': 0.8200000000000001}",0.5,0.5,0.5,0.5
13,"{'model__n_estimators': 21, 'model__min_samples_leaf': 0.33, 'model__max_samples': 0.5399999999999998, 'model__max_features': 0.72}",0.5,0.5,0.5,0.5
14,"{'model__n_estimators': 15, 'model__min_samples_leaf': 0.9400000000000001, 'model__max_samples': 0.4099999999999998, 'model__max_features': 0.21}",0.5,0.5,0.5,0.5
15,"{'model__n_estimators': 87, 'model__min_samples_leaf': 0.67, 'model__max_samples': 0.9699999999999995, 'model__max_features': 0.99}",0.5,0.5,0.5,0.5
16,"{'model__n_estimators': 16, 'model__min_samples_leaf': 0.5, 'model__max_samples': 0.32999999999999985, 'model__max_features': 0.49}",0.5,0.5,0.5,0.5
