,wektor parametrów,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
0,"{'model__max_iter': 100, 'model__kernel': 'poly', 'model__gamma': 1.0, 'model__degree': 3, 'model__C': 4.0}",0.48946402317309196,0.6304926498241281,0.4617610468922259,0.6461382702856528
1,"{'model__max_iter': 100, 'model__kernel': 'rbf', 'model__gamma': 2.0, 'model__degree': 2, 'model__C': 16.0}",0.5389295354012772,0.7864022280195145,0.5956020356511301,0.7041914958283428
2,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 512.0, 'model__degree': 3, 'model__C': 64.0}",0.4861161331104286,0.5,0.5,0.5
3,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 0.25, 'model__degree': 5, 'model__C': 0.0625}",0.6115083232337035,0.7590208560568635,0.5050221655391166,0.5944734972601926
4,"{'model__max_iter': 100, 'model__kernel': 'precomputed', 'model__gamma': 0.5, 'model__degree': 2, 'model__C': 32.0}",,,,
5,"{'model__max_iter': 100, 'model__kernel': 'rbf', 'model__gamma': 1.0, 'model__degree': 4, 'model__C': 16.0}",0.608431363626514,0.7851626343742307,0.5209512765938913,0.6446764592538565
6,"{'model__max_iter': 100, 'model__kernel': 'precomputed', 'model__gamma': 2.0, 'model__degree': 4, 'model__C': 64.0}",,,,
7,"{'model__max_iter': 100, 'model__kernel': 'precomputed', 'model__gamma': 64.0, 'model__degree': 2, 'model__C': 0.00390625}",,,,
8,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 0.5, 'model__degree': 3, 'model__C': 1.0}",0.6534339914522318,0.7600698962890087,0.47558465543570916,0.6369104002955259
9,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 16.0, 'model__degree': 2, 'model__C': 0.001953125}",0.676543811216529,0.8780571023548654,0.5035874904134993,0.6246349032549267
10,"{'model__max_iter': 100, 'model__kernel': 'rbf', 'model__gamma': 2.0, 'model__degree': 5, 'model__C': 0.0009765625}",0.6842058008133282,0.7774016247160318,0.5306029700853696,0.6866377833184293
11,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 128.0, 'model__degree': 4, 'model__C': 4.0}",0.23364868276617293,0.5,0.5,0.4993700771779458
12,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 0.125, 'model__degree': 2, 'model__C': 0.125}",0.4108094212861818,0.8095010638922242,0.5010406858092492,0.4728242291607967
13,"{'model__max_iter': 100, 'model__kernel': 'rbf', 'model__gamma': 0.125, 'model__degree': 5, 'model__C': 0.015625}",0.4666645085172189,0.8275468811360508,0.5002024222068334,0.6252424701143104
14,"{'model__max_iter': 100, 'model__kernel': 'poly', 'model__gamma': 0.00390625, 'model__degree': 3, 'model__C': 0.25}",0.4437652254972867,0.7648047331118715,0.5030390508614128,0.634599232850432
15,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 0.001953125, 'model__degree': 2, 'model__C': 512.0}",0.6057050432513181,0.7141839466110129,0.4918128139630422,0.4474763456222739
16,"{'model__max_iter': 100, 'model__kernel': 'rbf', 'model__gamma': 2.0, 'model__degree': 3, 'model__C': 0.0078125}",0.6842058008133282,0.7774016247160318,0.5306029700853696,0.6866377833184293
17,"{'model__max_iter': 100, 'model__kernel': 'precomputed', 'model__gamma': 0.125, 'model__degree': 2, 'model__C': 0.0009765625}",,,,
