,wektor parametrów,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
0,"{'model__min_samples_split': 19, 'model__min_samples_leaf': 19, 'model__max_depth': 16, 'model__ccp_alpha': 0.72}",0.5,0.5,0.5,0.5
1,"{'model__min_samples_split': 21, 'model__min_samples_leaf': 38, 'model__max_depth': 3, 'model__ccp_alpha': 0.81}",0.5,0.5,0.5,0.5
2,"{'model__min_samples_split': 45, 'model__min_samples_leaf': 14, 'model__max_depth': 16, 'model__ccp_alpha': 0.91}",0.5,0.5,0.5,0.5
3,"{'model__min_samples_split': 37, 'model__min_samples_leaf': 16, 'model__max_depth': 3, 'model__ccp_alpha': 0.6900000000000001}",0.5,0.5,0.5,0.5
4,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 21, 'model__max_depth': 27, 'model__ccp_alpha': 0.36}",0.5,0.5,0.5,0.5
5,"{'model__min_samples_split': 4, 'model__min_samples_leaf': 56, 'model__max_depth': 29, 'model__ccp_alpha': 0.3}",0.5,0.5,0.5,0.5
6,"{'model__min_samples_split': 6, 'model__min_samples_leaf': 12, 'model__max_depth': 7, 'model__ccp_alpha': 0.48}",0.5,0.5,0.5,0.5
7,"{'model__min_samples_split': 24, 'model__min_samples_leaf': 47, 'model__max_depth': 21, 'model__ccp_alpha': 0.17}",0.5,0.5,0.5,0.5
8,"{'model__min_samples_split': 9, 'model__min_samples_leaf': 54, 'model__max_depth': 24, 'model__ccp_alpha': 0.3}",0.5,0.5,0.5,0.5
9,"{'model__min_samples_split': 53, 'model__min_samples_leaf': 30, 'model__max_depth': 17, 'model__ccp_alpha': 0.88}",0.5,0.5,0.5,0.5
10,"{'model__min_samples_split': 49, 'model__min_samples_leaf': 9, 'model__max_depth': 4, 'model__ccp_alpha': 0.41000000000000003}",0.5,0.5,0.5,0.5
11,"{'model__min_samples_split': 33, 'model__min_samples_leaf': 9, 'model__max_depth': 4, 'model__ccp_alpha': 0.85}",0.5,0.5,0.5,0.5
12,"{'model__min_samples_split': 57, 'model__min_samples_leaf': 5, 'model__max_depth': 13, 'model__ccp_alpha': 0.05}",0.5927956961043275,0.6933112578836591,0.5,0.7418349926052619
13,"{'model__min_samples_split': 30, 'model__min_samples_leaf': 26, 'model__max_depth': 11, 'model__ccp_alpha': 0.64}",0.5,0.5,0.5,0.5
14,"{'model__min_samples_split': 9, 'model__min_samples_leaf': 53, 'model__max_depth': 24, 'model__ccp_alpha': 0.59}",0.5,0.5,0.5,0.5
15,"{'model__min_samples_split': 52, 'model__min_samples_leaf': 17, 'model__max_depth': 22, 'model__ccp_alpha': 0.35000000000000003}",0.5,0.5,0.5,0.5
16,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_depth': 19, 'model__ccp_alpha': 0.02}",0.7178545125926461,0.6933112578836591,0.4189507415543304,0.7418349926052619
17,"{'model__min_samples_split': 47, 'model__min_samples_leaf': 52, 'model__max_depth': 27, 'model__ccp_alpha': 0.64}",0.5,0.5,0.5,0.5
18,"{'model__min_samples_split': 15, 'model__min_samples_leaf': 45, 'model__max_depth': 4, 'model__ccp_alpha': 0.8300000000000001}",0.5,0.5,0.5,0.5
19,"{'model__min_samples_split': 52, 'model__min_samples_leaf': 47, 'model__max_depth': 3, 'model__ccp_alpha': 0.73}",0.5,0.5,0.5,0.5
20,"{'model__min_samples_split': 38, 'model__min_samples_leaf': 48, 'model__max_depth': 14, 'model__ccp_alpha': 0.87}",0.5,0.5,0.5,0.5
21,"{'model__min_samples_split': 18, 'model__min_samples_leaf': 58, 'model__max_depth': 15, 'model__ccp_alpha': 0.27}",0.5,0.5,0.5,0.5
22,"{'model__min_samples_split': 25, 'model__min_samples_leaf': 30, 'model__max_depth': 7, 'model__ccp_alpha': 0.96}",0.5,0.5,0.5,0.5
23,"{'model__min_samples_split': 27, 'model__min_samples_leaf': 52, 'model__max_depth': 25, 'model__ccp_alpha': 0.15}",0.5,0.5,0.5,0.5
24,"{'model__min_samples_split': 30, 'model__min_samples_leaf': 28, 'model__max_depth': 19, 'model__ccp_alpha': 0.51}",0.5,0.5,0.5,0.5
25,"{'model__min_samples_split': 7, 'model__min_samples_leaf': 28, 'model__max_depth': 9, 'model__ccp_alpha': 0.21}",0.5,0.5,0.5,0.5
26,"{'model__min_samples_split': 48, 'model__min_samples_leaf': 20, 'model__max_depth': 17, 'model__ccp_alpha': 0.14}",0.5,0.5,0.5,0.5
27,"{'model__min_samples_split': 41, 'model__min_samples_leaf': 26, 'model__max_depth': 19, 'model__ccp_alpha': 0.12}",0.5,0.5,0.5,0.5
28,"{'model__min_samples_split': 28, 'model__min_samples_leaf': 20, 'model__max_depth': 18, 'model__ccp_alpha': 0.0}",0.833164082725449,0.8537488620062401,0.46483683275105336,0.9008117533709774
29,"{'model__min_samples_split': 6, 'model__min_samples_leaf': 43, 'model__max_depth': 20, 'model__ccp_alpha': 0.67}",0.5,0.5,0.5,0.5
30,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 40, 'model__max_depth': 22, 'model__ccp_alpha': 0.99}",0.5,0.5,0.5,0.5
31,"{'model__min_samples_split': 25, 'model__min_samples_leaf': 50, 'model__max_depth': 27, 'model__ccp_alpha': 0.19}",0.5,0.5,0.5,0.5
32,"{'model__min_samples_split': 42, 'model__min_samples_leaf': 58, 'model__max_depth': 29, 'model__ccp_alpha': 0.77}",0.5,0.5,0.5,0.5
33,"{'model__min_samples_split': 8, 'model__min_samples_leaf': 59, 'model__max_depth': 25, 'model__ccp_alpha': 0.23}",0.5,0.5,0.5,0.5
34,"{'model__min_samples_split': 6, 'model__min_samples_leaf': 51, 'model__max_depth': 15, 'model__ccp_alpha': 0.9500000000000001}",0.5,0.5,0.5,0.5
35,"{'model__min_samples_split': 21, 'model__min_samples_leaf': 53, 'model__max_depth': 16, 'model__ccp_alpha': 0.36}",0.5,0.5,0.5,0.5
36,"{'model__min_samples_split': 18, 'model__min_samples_leaf': 15, 'model__max_depth': 10, 'model__ccp_alpha': 0.87}",0.5,0.5,0.5,0.5
37,"{'model__min_samples_split': 11, 'model__min_samples_leaf': 32, 'model__max_depth': 11, 'model__ccp_alpha': 0.53}",0.5,0.5,0.5,0.5
38,"{'model__min_samples_split': 28, 'model__min_samples_leaf': 56, 'model__max_depth': 2, 'model__ccp_alpha': 0.62}",0.5,0.5,0.5,0.5
39,"{'model__min_samples_split': 41, 'model__min_samples_leaf': 36, 'model__max_depth': 15, 'model__ccp_alpha': 0.75}",0.5,0.5,0.5,0.5
40,"{'model__min_samples_split': 18, 'model__min_samples_leaf': 39, 'model__max_depth': 26, 'model__ccp_alpha': 0.31}",0.5,0.5,0.5,0.5
