theta,score,theta,score,theta,score,theta,score
"OrderedDict([('learning_rate', 0.02571011142608906), ('max_depth', 8), ('min_samples_leaf', 9), ('min_samples_split', 5), ('n_estimators', 151), ('subsample', 0.7070593162427692)])",0.76125,"OrderedDict([('learning_rate', 0.02571011142608906), ('max_depth', 8), ('min_samples_leaf', 9), ('min_samples_split', 5), ('n_estimators', 151), ('subsample', 0.7070593162427692)])",0.891052412111881,"OrderedDict([('learning_rate', 0.02571011142608906), ('max_depth', 8), ('min_samples_leaf', 9), ('min_samples_split', 5), ('n_estimators', 151), ('subsample', 0.7070593162427692)])",0.7751189846641988,"OrderedDict([('learning_rate', 0.02571011142608906), ('max_depth', 8), ('min_samples_leaf', 9), ('min_samples_split', 5), ('n_estimators', 151), ('subsample', 0.7070593162427692)])",0.8465737514518002
"OrderedDict([('learning_rate', 0.06876831063110332), ('max_depth', 9), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 180), ('subsample', 0.5311564704220357)])",0.7625,"OrderedDict([('learning_rate', 0.06876831063110332), ('max_depth', 9), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 180), ('subsample', 0.5311564704220357)])",0.8977584252844067,"OrderedDict([('learning_rate', 0.06876831063110332), ('max_depth', 9), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 180), ('subsample', 0.5311564704220357)])",0.7685880486515071,"OrderedDict([('learning_rate', 0.06876831063110332), ('max_depth', 9), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 180), ('subsample', 0.5311564704220357)])",0.8441347270615562
"OrderedDict([('learning_rate', 0.027850468951284804), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 78), ('subsample', 0.7268326719031495)])",0.74375,"OrderedDict([('learning_rate', 0.027850468951284804), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 78), ('subsample', 0.7268326719031495)])",0.8947529082199981,"OrderedDict([('learning_rate', 0.027850468951284804), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 78), ('subsample', 0.7268326719031495)])",0.7621364357482813,"OrderedDict([('learning_rate', 0.027850468951284804), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 78), ('subsample', 0.7268326719031495)])",0.8536004645760743
"OrderedDict([('learning_rate', 0.0649226126117357), ('max_depth', 4), ('min_samples_leaf', 6), ('min_samples_split', 8), ('n_estimators', 128), ('subsample', 0.5477275196074968)])",0.7424999999999999,"OrderedDict([('learning_rate', 0.0649226126117357), ('max_depth', 4), ('min_samples_leaf', 6), ('min_samples_split', 8), ('n_estimators', 128), ('subsample', 0.5477275196074968)])",0.8665330168505688,"OrderedDict([('learning_rate', 0.0649226126117357), ('max_depth', 4), ('min_samples_leaf', 6), ('min_samples_split', 8), ('n_estimators', 128), ('subsample', 0.5477275196074968)])",0.7686938127974616,"OrderedDict([('learning_rate', 0.0649226126117357), ('max_depth', 4), ('min_samples_leaf', 6), ('min_samples_split', 8), ('n_estimators', 128), ('subsample', 0.5477275196074968)])",0.8417537746806039
"OrderedDict([('learning_rate', 0.06303089031548757), ('max_depth', 6), ('min_samples_leaf', 6), ('min_samples_split', 8), ('n_estimators', 186), ('subsample', 0.8585155755799185)])",0.75625,"OrderedDict([('learning_rate', 0.06303089031548757), ('max_depth', 6), ('min_samples_leaf', 6), ('min_samples_split', 8), ('n_estimators', 186), ('subsample', 0.8585155755799185)])",0.8898944701052092,"OrderedDict([('learning_rate', 0.06303089031548757), ('max_depth', 6), ('min_samples_leaf', 6), ('min_samples_split', 8), ('n_estimators', 186), ('subsample', 0.8585155755799185)])",0.7718667371760972,"OrderedDict([('learning_rate', 0.06303089031548757), ('max_depth', 6), ('min_samples_leaf', 6), ('min_samples_split', 8), ('n_estimators', 186), ('subsample', 0.8585155755799185)])",0.8463995354239258
"OrderedDict([('learning_rate', 0.054203585806438415), ('max_depth', 10), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 170), ('subsample', 0.6862898889916289)])",0.75125,"OrderedDict([('learning_rate', 0.054203585806438415), ('max_depth', 10), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 170), ('subsample', 0.6862898889916289)])",0.8998422932170044,"OrderedDict([('learning_rate', 0.054203585806438415), ('max_depth', 10), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 170), ('subsample', 0.6862898889916289)])",0.7670809095716552,"OrderedDict([('learning_rate', 0.054203585806438415), ('max_depth', 10), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 170), ('subsample', 0.6862898889916289)])",0.8584204413472707
"OrderedDict([('learning_rate', 0.04140753317701223), ('max_depth', 8), ('min_samples_leaf', 4), ('min_samples_split', 9), ('n_estimators', 139), ('subsample', 0.7973100175434192)])",0.7525000000000001,"OrderedDict([('learning_rate', 0.04140753317701223), ('max_depth', 8), ('min_samples_leaf', 4), ('min_samples_split', 9), ('n_estimators', 139), ('subsample', 0.7973100175434192)])",0.8938264476948079,"OrderedDict([('learning_rate', 0.04140753317701223), ('max_depth', 8), ('min_samples_leaf', 4), ('min_samples_split', 9), ('n_estimators', 139), ('subsample', 0.7973100175434192)])",0.7621099947117926,"OrderedDict([('learning_rate', 0.04140753317701223), ('max_depth', 8), ('min_samples_leaf', 4), ('min_samples_split', 9), ('n_estimators', 139), ('subsample', 0.7973100175434192)])",0.8584204413472707
"OrderedDict([('learning_rate', 0.03494645022019097), ('max_depth', 9), ('min_samples_leaf', 5), ('min_samples_split', 9), ('n_estimators', 99), ('subsample', 0.5255672768385259)])",0.7675000000000001,"OrderedDict([('learning_rate', 0.03494645022019097), ('max_depth', 9), ('min_samples_leaf', 5), ('min_samples_split', 9), ('n_estimators', 99), ('subsample', 0.5255672768385259)])",0.8952174749807543,"OrderedDict([('learning_rate', 0.03494645022019097), ('max_depth', 9), ('min_samples_leaf', 5), ('min_samples_split', 9), ('n_estimators', 99), ('subsample', 0.5255672768385259)])",0.7718667371760973,"OrderedDict([('learning_rate', 0.03494645022019097), ('max_depth', 9), ('min_samples_leaf', 5), ('min_samples_split', 9), ('n_estimators', 99), ('subsample', 0.5255672768385259)])",0.8512775842044136
"OrderedDict([('learning_rate', 0.09025639567934764), ('max_depth', 8), ('min_samples_leaf', 9), ('min_samples_split', 5), ('n_estimators', 107), ('subsample', 0.6057071436370981)])",0.7449999999999999,"OrderedDict([('learning_rate', 0.09025639567934764), ('max_depth', 8), ('min_samples_leaf', 9), ('min_samples_split', 5), ('n_estimators', 107), ('subsample', 0.6057071436370981)])",0.8924343512103328,"OrderedDict([('learning_rate', 0.09025639567934764), ('max_depth', 8), ('min_samples_leaf', 9), ('min_samples_split', 5), ('n_estimators', 107), ('subsample', 0.6057071436370981)])",0.750713907985193,"OrderedDict([('learning_rate', 0.09025639567934764), ('max_depth', 8), ('min_samples_leaf', 9), ('min_samples_split', 5), ('n_estimators', 107), ('subsample', 0.6057071436370981)])",0.8609756097560975
"OrderedDict([('learning_rate', 0.010083941261235433), ('max_depth', 9), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 137), ('subsample', 0.6373574244177087)])",0.76125,"OrderedDict([('learning_rate', 0.010083941261235433), ('max_depth', 9), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 137), ('subsample', 0.6373574244177087)])",0.8824886664955949,"OrderedDict([('learning_rate', 0.010083941261235433), ('max_depth', 9), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 137), ('subsample', 0.6373574244177087)])",0.770174510840825,"OrderedDict([('learning_rate', 0.010083941261235433), ('max_depth', 9), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 137), ('subsample', 0.6373574244177087)])",0.8488385598141696
