dataset,model,score,hyperparameters,iteration
iris,KNN,0.98,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 12}",0
iris,KNN,0.9733,"{'weights': 'distance', 'p': 1, 'n_neighbors': 18}",1
iris,KNN,0.96,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 3}",2
iris,KNN,0.98,"{'weights': 'distance', 'p': 2, 'n_neighbors': 13}",3
iris,KNN,0.98,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 12}",4
iris,KNN,0.9733,"{'weights': 'distance', 'p': 1, 'n_neighbors': 19}",5
iris,KNN,0.9667,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 8}",6
iris,KNN,0.9667,"{'weights': 'distance', 'p': 2, 'n_neighbors': 4}",7
iris,KNN,0.9733,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 4}",8
iris,KNN,0.9733,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13}",9
iris,KNN,0.9733,"{'weights': 'distance', 'p': 1, 'n_neighbors': 20}",10
iris,KNN,0.9733,"{'weights': 'distance', 'p': 2, 'n_neighbors': 15}",11
iris,KNN,0.9733,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 19}",12
iris,KNN,0.96,"{'weights': 'distance', 'p': 1, 'n_neighbors': 26}",13
iris,KNN,0.9333,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 2}",14
iris,KNN,0.98,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 6}",15
iris,KNN,0.9733,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15}",16
iris,KNN,0.96,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 22}",17
iris,KNN,0.9733,"{'weights': 'distance', 'p': 2, 'n_neighbors': 27}",18
iris,KNN,0.98,"{'weights': 'distance', 'p': 2, 'n_neighbors': 24}",19
iris,KNN,0.98,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11}",20
iris,KNN,0.96,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 5}",21
iris,KNN,0.9733,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9}",22
iris,KNN,0.9667,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 18}",23
iris,KNN,0.9467,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 24}",24
iris,KNN,0.9667,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 17}",25
iris,KNN,0.98,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 7}",26
iris,KNN,0.9667,"{'weights': 'distance', 'p': 1, 'n_neighbors': 23}",27
iris,KNN,0.96,"{'weights': 'distance', 'p': 1, 'n_neighbors': 22}",28
iris,KNN,0.9733,"{'weights': 'distance', 'p': 1, 'n_neighbors': 21}",29
iris,KNN,0.9667,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5}",30
iris,KNN,0.9733,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 9}",31
iris,KNN,0.9667,"{'weights': 'distance', 'p': 1, 'n_neighbors': 13}",32
iris,KNN,0.96,"{'weights': 'distance', 'p': 1, 'n_neighbors': 4}",33
iris,KNN,0.9733,"{'weights': 'distance', 'p': 1, 'n_neighbors': 10}",34
iris,KNN,0.9667,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 16}",35
iris,KNN,0.9667,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 18}",36
iris,KNN,0.9733,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9}",37
iris,KNN,0.9733,"{'weights': 'distance', 'p': 2, 'n_neighbors': 21}",38
iris,KNN,0.96,"{'weights': 'distance', 'p': 1, 'n_neighbors': 3}",39
iris,KNN,0.96,"{'weights': 'distance', 'p': 2, 'n_neighbors': 28}",40
iris,KNN,0.9667,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 19}",41
iris,KNN,0.9867,"{'weights': 'distance', 'p': 2, 'n_neighbors': 11}",42
iris,KNN,0.9867,"{'weights': 'distance', 'p': 2, 'n_neighbors': 10}",43
