Iteracja;estimator__loss;estimator__n_estimators;estimator__max_depth;estimator__subsample;estimator__max_features;estimator__learning_rate;estimator__min_samples_split;Srednia dokladnosc;Czas
1;exponential;4001;7;0.5;0.5;0.0098431332023037;8;0.9538043478260869;161.15900993347168
2;log_loss;3101;5;0.2;0.45;0.46293735614364534;64;0.5910326086956521;44.67209343910217
3;exponential;501;15;0.5;0.8500000000000001;0.0009765625;16;0.9307065217391305;72.9056263923645
4;log_loss;3451;9;1.0;0.8500000000000001;0.004556754060844206;64;0.9513586956521738;458.7670081615448
5;exponential;4201;7;0.8;0.45;0.09921256574801249;16;0.9570652173913043;108.86482982635498
6;log_loss;801;13;1.0;0.6500000000000001;0.0098431332023037;2;0.9502717391304347;170.95248103141785
7;log_loss;3451;1;0.9;0.15000000000000002;0.0098431332023037;64;0.9464673913043479;15.978349876403808
8;log_loss;2801;5;0.5;0.7000000000000001;0.0009765625;16;0.9377717391304348;121.28142037391663
9;log_loss;4901;9;0.4;0.25;0.002109491677524035;32;0.9513586956521738;122.05529432296753
10;log_loss;3151;7;0.1;0.25;0.004556754060844206;8;0.9478260869565217;27.382700967788697
11;exponential;1751;13;0.30000000000000004;0.15000000000000002;0.0098431332023037;64;0.9529891304347824;27.60302538871765
12;log_loss;4601;7;0.1;0.6500000000000001;0.045929202883612456;2;0.95;83.28768835067748
13;log_loss;3101;7;0.7000000000000001;0.3;0.002109491677524035;128;0.9486413043478261;99.78226685523987
14;log_loss;3401;3;0.2;0.8500000000000001;0.004556754060844206;16;0.9440217391304347;49.734653282165525
15;log_loss;2451;3;0.5;0.7000000000000001;0.045929202883612456;32;0.9505434782608695;52.92509865760803
16;exponential;4501;1;0.30000000000000004;0.8;0.09921256574801249;2;0.9407608695652175;33.48958921432495
17;log_loss;1201;5;0.2;0.3;0.021262343752724643;4;0.951086956521739;13.327559995651246
18;log_loss;1451;5;0.4;0.2;0.21431099571326834;16;0.7902173913043479;17.909873819351198
19;log_loss;3701;9;0.6;0.35000000000000003;0.0009765625;32;0.9456521739130436;162.4123230457306
20;log_loss;3301;13;0.2;0.2;0.002109491677524035;128;0.9491847826086957;39.90708417892456
21;exponential;4501;9;0.5;0.7500000000000001;0.004556754060844206;128;0.9519021739130435;303.7997440814972
22;log_loss;3601;9;1.0;0.6000000000000001;0.004556754060844206;4;0.9543478260869567;387.99173374176024
23;exponential;2451;9;1.0;0.9500000000000001;0.46293735614364534;8;0.9519021739130435;190.76360421180726
24;log_loss;251;1;0.7000000000000001;0.35000000000000003;0.004556754060844206;64;0.8505434782608695;1.7239778995513917
25;exponential;1001;3;0.4;0.9000000000000001;0.46293735614364534;128;0.9459239130434783;25.053816175460817
26;exponential;1901;7;0.2;0.6500000000000001;0.21431099571326834;64;0.9445652173913045;49.856873226165774
27;log_loss;251;1;0.5;0.8;1.0;32;0.9331521739130435;4.906917762756348
28;log_loss;3751;13;1.0;0.7000000000000001;0.045929202883612456;2;0.9548913043478262;355.89969501495364
29;exponential;1651;1;0.7000000000000001;1.0;0.045929202883612456;4;0.9451086956521738;24.353239440917967
30;exponential;3851;15;0.9;0.1;0.0098431332023037;8;0.957608695652174;187.35592885017394
31;log_loss;601;11;0.4;0.05;1.0;64;0.6744565217391304;5.5290602684021
32;log_loss;4151;13;0.30000000000000004;0.1;0.021262343752724643;2;0.955163043478261;108.63137350082397
33;exponential;2101;7;0.6;0.8500000000000001;0.21431099571326834;4;0.9538043478260869;87.9068172454834
34;log_loss;1401;1;0.4;0.6500000000000001;0.002109491677524035;16;0.901358695652174;12.033877277374268
35;log_loss;1201;9;0.6;0.9000000000000001;1.0;8;0.8646739130434782;104.42293901443482
36;log_loss;1501;3;0.30000000000000004;0.35000000000000003;0.004556754060844206;128;0.9421195652173913;15.733461666107178
37;exponential;4601;3;0.8;0.8;0.0098431332023037;2;0.9527173913043476;157.60530304908752
38;log_loss;1;15;0.2;0.5;0.21431099571326834;64;0.8282608695652174;0.10915770530700683
39;log_loss;4451;7;0.8;0.7000000000000001;0.045929202883612456;128;0.9543478260869565;298.80557761192324
40;exponential;1851;1;0.7000000000000001;0.6500000000000001;0.002109491677524035;64;0.9081521739130436;18.645486879348756
41;log_loss;451;11;0.1;0.35000000000000003;0.46293735614364534;2;0.5646739130434782;7.083063745498658
42;log_loss;2901;5;0.1;0.4;0.002109491677524035;64;0.9421195652173914;22.405076026916504
43;log_loss;2001;9;0.8;0.8500000000000001;1.0;2;0.9467391304347826;75.65430092811584
44;exponential;2951;1;0.6;0.45;0.002109491677524035;16;0.9173913043478261;22.502129983901977
45;exponential;4301;13;0.7000000000000001;0.05;0.021262343752724643;8;0.9603260869565219;105.32869753837585
46;exponential;3551;9;1.0;0.8500000000000001;0.045929202883612456;4;0.9521739130434781;368.153116607666
47;exponential;1401;3;0.9;0.8500000000000001;0.021262343752724643;2;0.9502717391304347;55.365995693206784
48;log_loss;3501;3;0.5;0.1;0.09921256574801249;64;0.9489130434782609;20.398143815994263
49;log_loss;1501;11;0.1;0.5;0.21431099571326834;2;0.5910326086956522;28.45951991081238
50;exponential;701;11;1.0;0.7500000000000001;0.0009765625;128;0.9247282608695653;95.10071697235108
51;log_loss;2151;11;0.8;1.0;0.004556754060844206;4;0.9505434782608695;397.7724019527435
52;log_loss;2051;7;0.5;0.5;0.045929202883612456;8;0.9546195652173912;79.82737755775452
53;exponential;4901;11;0.5;0.6000000000000001;0.09921256574801249;4;0.9532608695652174;105.05537667274476
54;log_loss;1751;1;0.4;0.8;0.21431099571326834;64;0.9464673913043476;15.280772495269776
