Iteracja;estimator__max_depth;estimator__max_features;estimator__max_samples;estimator__min_samples_split;estimator__n_estimators;Srednia dokladnosc;Czas
1;6;sqrt;0.5363636363636364;0.41515151515151516;1275;0.7395925637514209;4.360433053970337
2;10;log2;0.9545454545454545;0.4313131313131313;74;0.7389951039624785;0.31861224174499514
3;11;sqrt;0.32727272727272727;0.24141414141414141;824;0.7410882271331776;2.912506866455078
4;12;sqrt;0.16363636363636364;0.4757575757575757;109;0.5067345130367069;0.34365158081054686
5;12;log2;0.2727272727272727;0.2090909090909091;835;0.7401913661466304;3.0420982360839846
6;5;log2;0.6818181818181818;0.23737373737373738;214;0.741687924599232;1.1098620414733886
7;11;sqrt;0.9090909090909091;0.302020202020202;1982;0.7425861281920464;10.26614956855774
8;19;log2;0.38181818181818183;0.12828282828282828;781;0.7470753560144285;3.5029199600219725
9;14;sqrt;0.5909090909090909;0.4353535353535354;1519;0.7410895697394448;6.523924827575684
10;16;log2;0.40909090909090906;0.3464646464646465;1915;0.5067345130367069;7.123618268966675
11;15;sqrt;0.8909090909090909;0.20505050505050504;1769;0.7500662352425194;11.751855659484864
12;6;sqrt;0.2909090909090909;0.22121212121212122;1706;0.7407892734709952;7.700037479400635
13;16;sqrt;0.5181818181818182;0.12828282828282828;1014;0.7548553117979288;6.442349147796631
14;7;sqrt;0.26363636363636367;0.30606060606060603;228;0.5067345130367069;0.8739346981048584
15;3;sqrt;0.8818181818181817;0.41515151515151516;723;0.7401918136820529;3.623957633972168
16;15;sqrt;0.709090909090909;0.12424242424242425;1677;0.7689258254790866;11.570099496841431
17;5;sqrt;0.9727272727272727;0.29393939393939394;1303;0.7434838842494383;7.434678792953491
18;7;log2;0.4181818181818182;0.39494949494949494;221;0.5067345130367069;0.849813175201416
19;4;sqrt;0.28181818181818186;0.4313131313131313;826;0.5067345130367069;2.8669862747192383
20;8;sqrt;0.6545454545454545;0.491919191919192;1374;0.5067345130367069;4.998322534561157
21;16;sqrt;0.709090909090909;0.42727272727272725;799;0.7419886684031041;3.8626953125
22;19;log2;0.7545454545454545;0.4191919191919192;1077;0.7401927087528978;5.30502028465271
23;10;sqrt;0.5454545454545454;0.28181818181818186;443;0.7419873257968368;2.136687231063843
24;8;log2;0.33636363636363636;0.20101010101010103;175;0.7407892734709952;0.7932069778442383
25;10;sqrt;0.7999999999999999;0.40303030303030307;1432;0.7407910636126849;7.110270357131958
26;10;sqrt;0.7545454545454545;0.10808080808080808;684;0.774612658091888;5.298961496353149
27;16;log2;0.8545454545454545;0.3222222222222222;1720;0.7416861344575423;10.02330002784729
28;3;sqrt;0.40909090909090906;0.26161616161616164;804;0.7401904710757856;4.039792823791504
29;13;log2;0.4636363636363636;0.29393939393939394;1585;0.7407906160772625;7.6645856380462645
30;9;log2;0.7818181818181817;0.15252525252525254;1037;0.7644352550504374;7.601561737060547
31;4;sqrt;0.13636363636363635;0.4878787878787879;847;0.5067345130367069;3.201911973953247
32;16;sqrt;0.23636363636363636;0.30606060606060603;1551;0.5067345130367069;6.128582429885864
33;13;log2;0.8090909090909091;0.31414141414141417;93;0.7422858319235968;0.6768779277801513
34;13;log2;0.8272727272727273;0.15656565656565657;831;0.7632372027245956;6.3512249946594235
35;6;sqrt;0.609090909090909;0.1808080808080808;45;0.7470735658727389;0.38710522651672363
36;6;sqrt;0.9454545454545454;0.43939393939393945;1402;0.7413889709370497;7.540310001373291
37;3;sqrt;0.4545454545454546;0.491919191919192;107;0.5067345130367069;0.4549277305603027
