n_estimators,min_samples_leaf,min_samples_split,df1,df2,df3,df4,mean_score
325,0.3494901432563752,0.7092130950853164,0.47809148428586246,0.3498896528308293,0.35625,0.3827335732373717,0.3917411775885159
704,0.5241012274346032,0.1538819735735204,0.48293434291048654,0.4353535353535354,0.36124999999999996,0.3835998933759829,0.41578444291000116
649,0.4778461764868356,0.20959277229524353,0.4871144072191681,0.4464604023427553,0.364375,0.38026789284286283,0.41955442560119655
648,0.7292532345874273,0.8147266655966882,0.4117104034851157,0.3296324590442238,0.35562499999999997,0.35910968945755034,0.3640193879967224
1567,0.216427752812814,0.15856551709255673,0.491623275593818,0.4706264323911383,0.37,0.3819338931094229,0.42854590027359485
921,0.5941522160241814,0.5621748156688179,0.4829291567264806,0.3916178592649181,0.360625,0.3778155404504865,0.40324688911047135
801,0.8056971381675838,0.14785439259093358,0.47841821387822836,0.41905186316951026,0.34687500000000004,0.3811342129814741,0.4063698225073032
836,0.29774766522856844,0.2047827829314397,0.4916222383570169,0.4699558611323317,0.36875,0.37785552445688386,0.4270459059865581
1453,0.28273931632263727,0.5511680043858895,0.48807800020744735,0.3922672099142687,0.35937500000000006,0.3795081967213115,0.4048071017107569
1461,0.967042487938971,0.7973161513064115,0.4201047609169173,0.3179101943807826,0.3475,0.3624083699853392,0.36198083132075975
1502,0.8272349893802481,0.2340014250975857,0.47745150917954565,0.41516849163907993,0.36125,0.3835332533653205,0.40935081354598657
1012,0.7477153528480426,0.7830413173427683,0.434586661134737,0.3204863763687293,0.35,0.3680794348927096,0.36828811809904394
1737,0.8285060345302969,0.08360896934484252,0.4764879161912664,0.41904761904761906,0.35812499999999997,0.3787085165933627,0.408092262958062
932,0.6064030755788865,0.39145292566902345,0.4835691318327974,0.42815550462609286,0.35562499999999997,0.37946821271491404,0.4117044622934511
391,0.45385715411907757,0.7370304856722708,0.477447360232341,0.33095238095238094,0.346875,0.3843529254964681,0.3849069166702975
1742,0.3428997324289963,0.43151159618433654,0.490340213670781,0.4203123673711908,0.36812500000000004,0.38759163001466085,0.4165923027641582
960,0.16477131684696134,0.11120537215070381,0.4922694741209418,0.4817205670146847,0.38,0.38027455684392913,0.4335661494948889
1658,0.8129545412516092,0.49761200407888795,0.4745451716626906,0.4046939988116458,0.35750000000000004,0.381160868985739,0.40447500986501883
1723,0.03409210803273488,0.6822547767090638,0.48389482418836227,0.3538112214582803,0.35625000000000007,0.38917766226842593,0.3957834269787671
1994,0.3614689806070027,0.731135708984349,0.480993672855513,0.33612172141583907,0.34625000000000006,0.37703585232573633,0.38510031164927216
977,0.6244177653181604,0.2635174095257137,0.48228295819935696,0.4268950004244122,0.361875,0.38030121284819407,0.4128385428679908
305,0.5357335714583186,0.5820660427475225,0.48614873975728656,0.3864145658263305,0.354375,0.38359322937491674,0.40263288373963346
1732,0.2487536592143661,0.17961758163605368,0.49129862047505446,0.46019013666072484,0.37625000000000003,0.3778222044515527,0.426390240396833
773,0.5020408515700252,0.8586856975459753,0.3279597552121149,0.325740599270011,0.34875,0.3265493802479008,0.33224993368250666
293,0.3235658695277378,0.32223821015866616,0.48808111191785086,0.4464688905865376,0.36624999999999996,0.38844462215113956,0.422311156163882
1259,0.5654581603009555,0.07769171553789922,0.4832486256612384,0.43405907817672523,0.36124999999999996,0.3770825003332,0.4139100510427909
1202,0.31716176201746993,0.5998994009022317,0.4890519655637382,0.381869111280876,0.36250000000000004,0.3778155404504865,0.4028091543237752
10,0.2092069289512295,0.5218083087217621,0.4845316875842755,0.4033655886597063,0.36187500000000006,0.3689057710249234,0.4046695118172263
1516,0.6124300136870832,0.5628424373722933,0.4813152162638731,0.3864103217044394,0.35625000000000007,0.39816739970678394,0.4055357344187741
667,0.8661348152109144,0.2975971994045824,0.47712477958717975,0.413199219081572,0.35625000000000007,0.38268692522990805,0.407315230974665
181,0.679318637010949,0.6903115699588146,0.4787439062337932,0.3570070452423394,0.34875,0.37461681993869117,0.3897794428537059
281,0.12655134909374022,0.21458951461685982,0.4932382532932268,0.4823868941516,0.37312500000000004,0.38434626149540185,0.4332741022350572
832,0.7212643209354592,0.013798196428337017,0.47906752411575565,0.42097869450810627,0.36,0.3908969745435159,0.4127357982918445
1189,0.27476743130851566,0.7807533357682953,0.46165957888185866,0.33027332144979205,0.351875,0.3689057710249234,0.3781784178391435
380,0.30723460285107096,0.28611659573463555,0.4900114096048128,0.4530175706646295,0.37062500000000004,0.3689057710249234,0.42063993782359144
1327,0.9339579062306691,0.8096631253931967,0.4033399024997407,0.3205160852219676,0.35125,0.35505131280821006,0.3575393251324796
383,0.9411284531292526,0.5512551355473243,0.4726065760813194,0.38644427467956877,0.355,0.39578168732507,0.4024581345214896
1592,0.7436610145114338,0.5783436972743503,0.4771268540607821,0.3890119684237331,0.36312500000000003,0.3851925896308144,0.4036141030288324
370,0.611664484394064,0.904248717985968,0.3298983507934862,0.33290467702232407,0.35562499999999997,0.3273890443822471,0.33645426804951434
498,0.6251502499214319,0.971464044085417,0.328948241883622,0.33157626687038444,0.3525,0.3314141010262562,0.33610965244506563
450,0.3485262114747958,0.01717745624880096,0.48904885385333474,0.45887870299635003,0.365625,0.3958016793282687,0.42733855904448836
1992,0.38033954897873423,0.6941371177691625,0.4816377969090343,0.35636193871487987,0.348125,0.36973877115820336,0.3889658766955294
442,0.6918518967450012,0.71632551928094,0.47486878954465306,0.3498429674900263,0.34937500000000005,0.38032120485139276,0.388601990471518
69,0.34501831164952423,0.8874251458791935,0.3244072191681361,0.32637721755368815,0.35750000000000004,0.3183726509396242,0.3316642719153621
1620,0.43675404151086716,0.30301757856320777,0.48904885385333474,0.44192343604108314,0.36624999999999996,0.38356657337065175,0.4201972158162674
1608,0.5989108772924018,0.5133382423167427,0.48131314179027074,0.396876326288091,0.36125,0.3778421964547515,0.4043204161332783
545,0.9157722681789404,0.32694895416036485,0.47293434291048647,0.41711229946524064,0.35625,0.386765293882447,0.40826548406454355
685,0.9627725774141106,0.5719593656267905,0.47068561352556787,0.3877599524658348,0.358125,0.3843262694922031,0.40022420887090143
875,0.8528210839648772,0.7398406070896062,0.4590841199045742,0.3348442407265937,0.34562499999999996,0.3656337465013994,0.37629677678314183
683,0.3287913607257994,0.30653095573694267,0.49033399024997415,0.4588744588744588,0.36,0.38523923763827805,0.4236119216906778
227,0.20199110899428663,0.8137445017176859,0.4117155896691215,0.32642390289449114,0.35125,0.36074236971877915,0.362532965570598
1796,0.04003374289144701,0.3866481957825251,0.4951685509801888,0.4386299974535269,0.38125,0.38437958150073304,0.4248570324836122
1971,0.2918691252587817,0.1497333871228581,0.4903360647235764,0.47259146082675496,0.37187499999999996,0.3795148607223777,0.42857934656817726
1716,0.36522162877776587,0.4659677269587029,0.4900114096048128,0.41778287072404724,0.366875,0.3810609089697455,0.4139325473246514
1654,0.8695367481036438,0.3419435084154867,0.4797002385644643,0.4158263305322129,0.3575,0.38192056510729044,0.40873678355099186
84,0.40216504317031543,0.6518500596154964,0.48422259101752924,0.3635811900517783,0.35,0.38605224576835934,0.39596400670941667
276,0.6727929219205286,0.4620852881484102,0.4826003526605124,0.40989729225023347,0.35875,0.37621618019458886,0.4068659562763337
1844,0.3706679811916326,0.13584470662407377,0.4903329530131729,0.46343264578558696,0.375,0.3778155404504865,0.42664528481231156
653,0.6831788302849945,0.13880849262330475,0.4813141790270719,0.42621169679993215,0.355,0.3762828202052512,0.4097021740080638
1589,0.9128573322389453,0.4338007124895791,0.4713328492894928,0.4111917494270435,0.356875,0.38434626149540185,0.40593646505298453
1299,0.08030072205155037,0.6912829767710701,0.4822788092521523,0.3485824632883457,0.35562499999999997,0.3663867786218845,0.3882182627905957
209,0.7641460359256089,0.2116058400947768,0.4796929779068561,0.4197139461845344,0.35375,0.38845128615220575,0.41040205256089907
145,0.32614191142676074,0.4874701497168319,0.4880852608650555,0.40928613869790337,0.36375,0.3802812208449953,0.41035065510198854
394,0.6389188141083568,0.8696072569804679,0.32701068353905194,0.3192046515575927,0.35125,0.3265093962415034,0.330993682834537
1011,0.13722300500379914,0.7855770406383832,0.44040970853645883,0.32891520244461414,0.34875,0.3534586165533786,0.36788338188361286
1099,0.29001312811745417,0.12457492787896429,0.4906586453687377,0.4647695441813089,0.36687499999999995,0.38435958949753435,0.4266656947618952
1918,0.7028279973564394,0.8472418237688372,0.34698164090861944,0.32706900942195055,0.35,0.3411901905904305,0.3413102102302501
1599,0.008576231261486988,0.4809818987841148,0.49452442692666737,0.411225702402173,0.369375,0.3819272291083567,0.41426308960929925
1905,0.04271660275287781,0.4314447193871548,0.49484389586142513,0.42164926576691286,0.37375,0.3802878848460616,0.4176327616185999
1239,0.14629566625616797,0.9822874759603509,0.32278083186391454,0.3218062982768865,0.348125,0.3241036918565907,0.32920395549934794
910,0.2795209905408236,0.1646569492997676,0.4906586453687377,0.4712715389185978,0.36937500000000006,0.38437291749966684,0.4289195254467506
1327,0.447284019433409,0.6621779056367386,0.48550046675656056,0.3531406501994737,0.36062500000000003,0.3794615487138478,0.3946819164174705
1127,0.9723792146442906,0.36885794797586813,0.47068146457836324,0.40861981156098803,0.355,0.38110089297614286,0.4038505422788735
809,0.9020093462576368,0.8053728222500685,0.4136448501192823,0.32964943553178844,0.3506250000000001,0.3599293615886978,0.3634621618099422
1290,0.36225837261201854,0.2923334081184622,0.48904574214293123,0.4556192173839232,0.36562500000000003,0.3705117952818872,0.42020043870218543
1002,0.2928239237705823,0.031450144973698024,0.4919385955813712,0.4687080892963246,0.373125,0.37052512328401976,0.4260742020404289
1403,0.08691859066065255,0.41518456416293226,0.49420392075510844,0.4255793226381461,0.37125,0.38351992536318813,0.41863829218911064
134,0.619579266633406,0.7971478707153756,0.4361995643605435,0.32438672438672433,0.34687499999999993,0.36807943489270956,0.36888518090999434
777,0.24465711184718852,0.6635402875980548,0.48582201016492055,0.3694338341397165,0.355625,0.37052512328401976,0.39535149189716423
1007,0.7607374861539609,0.01730149663552505,0.47776994087750235,0.42622867328749675,0.35875,0.3860122617619619,0.41219021898174024
169,0.08375363895202248,0.10162160579563806,0.4945233896898662,0.4797937356760886,0.37,0.37870185259229644,0.4307547444895628
326,0.052869555644817656,0.5788314881930272,0.49162535006742036,0.38381716322892795,0.36124999999999996,0.3786818605890977,0.40384359347136145
1456,0.8865716457060164,0.7457841634181419,0.45683227880925215,0.3302987861811391,0.355625,0.37704251632680263,0.37994964532929854
1993,0.7387424817474851,0.3753147424544834,0.4800248936832279,0.4164587046939988,0.36124999999999996,0.3786685325869652,0.409100532741048
158,0.5036084548331594,0.1103081734248984,0.4877585312726896,0.42752737458619816,0.365625,0.3745968279354925,0.4138769334485951
1480,0.61902739659374,0.39498930556366807,0.48517892334820034,0.4294796706561412,0.36312500000000003,0.3795081967213115,0.41432294768141326
381,0.13690742577684956,0.3513426682720804,0.492912560937662,0.46148883795942613,0.37187500000000007,0.39089031054244966,0.4292916773598845
