params,a_scores
"{'learning_rate': 0.9450516368287338, 'max_depth': 13, 'max_leaf_nodes': 30, 'min_samples_leaf': 23, 'n_estimators': 123}",0.7719999999999999
"{'learning_rate': 0.6238833680718908, 'max_depth': 11, 'max_leaf_nodes': 23, 'min_samples_leaf': 25, 'n_estimators': 216}",0.7729999999999999
"{'learning_rate': 0.2891592793734936, 'max_depth': 9, 'max_leaf_nodes': 42, 'min_samples_leaf': 4, 'n_estimators': 435}",0.8160000000000001
"{'learning_rate': 0.6311265903165661, 'max_depth': 13, 'max_leaf_nodes': 28, 'min_samples_leaf': 18, 'n_estimators': 345}",0.776
"{'learning_rate': 0.707977955004843, 'max_depth': 9, 'max_leaf_nodes': 12, 'min_samples_leaf': 36, 'n_estimators': 387}",0.7514999999999998
"{'learning_rate': 0.6761515622583731, 'max_depth': 4, 'max_leaf_nodes': 36, 'min_samples_leaf': 26, 'n_estimators': 452}",0.7264999999999999
"{'learning_rate': 0.8606418799300359, 'max_depth': 8, 'max_leaf_nodes': 16, 'min_samples_leaf': 15, 'n_estimators': 439}",0.7445
"{'learning_rate': 0.606390139830481, 'max_depth': 4, 'max_leaf_nodes': 22, 'min_samples_leaf': 18, 'n_estimators': 36}",0.7125
"{'learning_rate': 0.6631031308584596, 'max_depth': 5, 'max_leaf_nodes': 6, 'min_samples_leaf': 29, 'n_estimators': 366}",0.7094999999999999
"{'learning_rate': 0.3720293061931484, 'max_depth': 5, 'max_leaf_nodes': 15, 'min_samples_leaf': 44, 'n_estimators': 478}",0.7575000000000001
"{'learning_rate': 0.3522130831619253, 'max_depth': 4, 'max_leaf_nodes': 8, 'min_samples_leaf': 27, 'n_estimators': 498}",0.7155
"{'learning_rate': 0.41084372546527753, 'max_depth': 13, 'max_leaf_nodes': 38, 'min_samples_leaf': 32, 'n_estimators': 272}",0.7815000000000001
"{'learning_rate': 0.3434824092434221, 'max_depth': 11, 'max_leaf_nodes': 49, 'min_samples_leaf': 15, 'n_estimators': 322}",0.8055
"{'learning_rate': 0.559993274933559, 'max_depth': 8, 'max_leaf_nodes': 27, 'min_samples_leaf': 43, 'n_estimators': 357}",0.7590000000000001
"{'learning_rate': 0.2919794685819001, 'max_depth': 8, 'max_leaf_nodes': 47, 'min_samples_leaf': 30, 'n_estimators': 363}",0.7915
"{'learning_rate': 0.9756022334028617, 'max_depth': 14, 'max_leaf_nodes': 35, 'min_samples_leaf': 24, 'n_estimators': 445}",0.7555
"{'learning_rate': 0.7654512694384199, 'max_depth': 3, 'max_leaf_nodes': 38, 'min_samples_leaf': 42, 'n_estimators': 88}",0.6619999999999999
"{'learning_rate': 0.8644307328104724, 'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_leaf': 8, 'n_estimators': 493}",0.6575
"{'learning_rate': 0.5196685285316104, 'max_depth': 10, 'max_leaf_nodes': 45, 'min_samples_leaf': 34, 'n_estimators': 415}",0.7645
"{'learning_rate': 0.6538876476927167, 'max_depth': 7, 'max_leaf_nodes': 13, 'min_samples_leaf': 17, 'n_estimators': 12}",0.708
"{'learning_rate': 0.5883111586926844, 'max_depth': 8, 'max_leaf_nodes': 17, 'min_samples_leaf': 13, 'n_estimators': 440}",0.7799999999999999
"{'learning_rate': 0.5448390848969341, 'max_depth': 10, 'max_leaf_nodes': 22, 'min_samples_leaf': 30, 'n_estimators': 482}",0.7715
"{'learning_rate': 0.1770891931684472, 'max_depth': 6, 'max_leaf_nodes': 9, 'min_samples_leaf': 31, 'n_estimators': 34}",0.7639999999999999
"{'learning_rate': 0.44004605965926785, 'max_depth': 10, 'max_leaf_nodes': 37, 'min_samples_leaf': 32, 'n_estimators': 321}",0.78
"{'learning_rate': 0.15515486087350674, 'max_depth': 8, 'max_leaf_nodes': 23, 'min_samples_leaf': 16, 'n_estimators': 275}",0.7935000000000001
"{'learning_rate': 0.20125231896904952, 'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 25, 'n_estimators': 484}",0.766
"{'learning_rate': 0.30932160445500034, 'max_depth': 7, 'max_leaf_nodes': 46, 'min_samples_leaf': 32, 'n_estimators': 78}",0.7665
"{'learning_rate': 0.41297240810019126, 'max_depth': 12, 'max_leaf_nodes': 3, 'min_samples_leaf': 44, 'n_estimators': 390}",0.6655
"{'learning_rate': 0.4846136596243366, 'max_depth': 14, 'max_leaf_nodes': 41, 'min_samples_leaf': 24, 'n_estimators': 59}",0.7859999999999999
"{'learning_rate': 0.26821594355539186, 'max_depth': 11, 'max_leaf_nodes': 47, 'min_samples_leaf': 35, 'n_estimators': 171}",0.7865
"{'learning_rate': 0.8396088149963606, 'max_depth': 8, 'max_leaf_nodes': 46, 'min_samples_leaf': 14, 'n_estimators': 371}",0.7615000000000001
"{'learning_rate': 0.47797136297182063, 'max_depth': 14, 'max_leaf_nodes': 12, 'min_samples_leaf': 28, 'n_estimators': 379}",0.7714999999999999
"{'learning_rate': 0.10015960176876708, 'max_depth': 7, 'max_leaf_nodes': 11, 'min_samples_leaf': 29, 'n_estimators': 429}",0.7699999999999999
"{'learning_rate': 0.08766481432868119, 'max_depth': 14, 'max_leaf_nodes': 20, 'min_samples_leaf': 39, 'n_estimators': 146}",0.7885
"{'learning_rate': 0.3047388920276908, 'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_leaf': 15, 'n_estimators': 475}",0.7094999999999999
"{'learning_rate': 0.37837745134474166, 'max_depth': 8, 'max_leaf_nodes': 48, 'min_samples_leaf': 45, 'n_estimators': 491}",0.7780000000000001
"{'learning_rate': 0.541602728490376, 'max_depth': 9, 'max_leaf_nodes': 12, 'min_samples_leaf': 45, 'n_estimators': 333}",0.745
"{'learning_rate': 0.11716424847622302, 'max_depth': 13, 'max_leaf_nodes': 16, 'min_samples_leaf': 43, 'n_estimators': 166}",0.7809999999999999
"{'learning_rate': 0.04337936291096787, 'max_depth': 1, 'max_leaf_nodes': 21, 'min_samples_leaf': 36, 'n_estimators': 196}",0.6184999999999999
"{'learning_rate': 0.9405095646445645, 'max_depth': 6, 'max_leaf_nodes': 16, 'min_samples_leaf': 18, 'n_estimators': 150}",0.7375
"{'learning_rate': 0.7479606908723343, 'max_depth': 8, 'max_leaf_nodes': 24, 'min_samples_leaf': 45, 'n_estimators': 157}",0.7500000000000001
"{'learning_rate': 0.8591331190659183, 'max_depth': 9, 'max_leaf_nodes': 13, 'min_samples_leaf': 14, 'n_estimators': 462}",0.7464999999999999
"{'learning_rate': 0.11580798398985447, 'max_depth': 11, 'max_leaf_nodes': 24, 'min_samples_leaf': 10, 'n_estimators': 348}",0.812
"{'learning_rate': 0.9807477121994408, 'max_depth': 12, 'max_leaf_nodes': 8, 'min_samples_leaf': 11, 'n_estimators': 180}",0.7245
"{'learning_rate': 0.7252358649483179, 'max_depth': 8, 'max_leaf_nodes': 34, 'min_samples_leaf': 10, 'n_estimators': 24}",0.743
"{'learning_rate': 0.0656467345569366, 'max_depth': 2, 'max_leaf_nodes': 47, 'min_samples_leaf': 16, 'n_estimators': 273}",0.6579999999999999
"{'learning_rate': 0.6197864390189105, 'max_depth': 4, 'max_leaf_nodes': 46, 'min_samples_leaf': 47, 'n_estimators': 433}",0.7314999999999999
"{'learning_rate': 0.5244350954960795, 'max_depth': 8, 'max_leaf_nodes': 49, 'min_samples_leaf': 18, 'n_estimators': 419}",0.7975
"{'learning_rate': 0.056666453522918596, 'max_depth': 9, 'max_leaf_nodes': 39, 'min_samples_leaf': 10, 'n_estimators': 252}",0.8230000000000001
"{'learning_rate': 0.41511863434545815, 'max_depth': 12, 'max_leaf_nodes': 29, 'min_samples_leaf': 29, 'n_estimators': 459}",0.786
